alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360
0.11,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9985,0.9953,0.9903,0.9699,0.9355,0.9154,0.9061,0.9016,0.8926,0.8843,0.8774,0.8694,0.8642,0.8555,0.8470,0.8403,0.8332,0.8235,0.8188
0.12,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9984,0.9976,0.9962,0.9878,0.9706,0.9384,0.9151,0.9077,0.8987,0.8911,0.8854,0.8787,0.8697,0.8644,0.8549,0.8446,0.8409,0.8329,0.8267,0.8184
0.13,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9976,0.9893,0.9636,0.9340,0.9151,0.9062,0.9007,0.8931,0.8861,0.8763,0.8696,0.8632,0.8549,0.8502,0.8402,0.8323,0.8270,0.8187
0.14,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9977,0.9945,0.9867,0.9616,0.9339,0.9141,0.9097,0.9006,0.8923,0.8868,0.8772,0.8727,0.8612,0.8560,0.8461,0.8398,0.8333,0.8244,0.8169
0.15,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9978,0.9948,0.9826,0.9593,0.9293,0.9148,0.9059,0.8988,0.8935,0.8888,0.8786,0.8688,0.8622,0.8552,0.8425,0.8359,0.8335,0.8248,0.8184
0.16,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9983,0.9967,0.9798,0.9480,0.9245,0.9148,0.9056,0.9027,0.8912,0.8871,0.8756,0.8716,0.8632,0.8556,0.8463,0.8406,0.8329,0.8205,0.8123
0.17,0.9971,0.9971,0.9971,0.9967,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9967,0.9965,0.9965,0.9968,0.9968,0.9968,0.9958,0.9932,0.9857,0.9735,0.9375,0.9226,0.9113,0.9034,0.8982,0.8907,0.8822,0.8707,0.8558,0.8494,0.8331,0.8246,0.8126,0.8014,0.7974,0.7960
0.18,0.9988,0.9988,0.9988,0.9988,0.9971,0.9969,0.9969,0.9969,0.9969,0.9969,0.9969,0.9969,0.9969,0.9969,0.9966,0.9966,0.9966,0.9966,0.9966,0.9966,0.9973,0.9971,0.9965,0.9965,0.9944,0.9876,0.9728,0.9447,0.9207,0.9091,0.9028,0.8917,0.8792,0.8719,0.8524,0.8385,0.8263,0.8164,0.8149,0.7962,0.7819,0.7773,0.7809
0.19,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9982,0.9975,0.9967,0.9863,0.9688,0.9425,0.9216,0.9104,0.9048,0.9000,0.8844,0.8779,0.8671,0.8692,0.8530,0.8369,0.8246,0.8064,0.7953,0.7788,0.7641
0.20,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9972,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9973,0.9969,0.9969,0.9957,0.9932,0.9847,0.9659,0.9385,0.9154,0.9095,0.9011,0.8886,0.8833,0.8543,0.8485,0.8337,0.7978,0.7785,0.7667,0.7636,0.7306,0.7227,0.6903
0.21,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9981,0.9957,0.9908,0.9777,0.9545,0.9257,0.9099,0.8919,0.8828,0.8502,0.8273,0.8086,0.7807,0.7767,0.7719,0.7544,0.7668,0.7504,0.7040,0.7031,0.6738
0.22,0.9954,0.9954,0.9954,0.9953,0.9953,0.9953,0.9952,0.9952,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9951,0.9952,0.9938,0.9921,0.9890,0.9706,0.9505,0.9180,0.9027,0.8784,0.8637,0.8235,0.7902,0.7670,0.7400,0.6785,0.6729,0.6316,0.6202,0.5959,0.5556,0.5142,0.4706
0.23,0.9902,0.9881,0.9879,0.9876,0.9876,0.9876,0.9876,0.9880,0.9879,0.9876,0.9876,0.9878,0.9877,0.9877,0.9877,0.9876,0.9886,0.9877,0.9876,0.9868,0.9873,0.9862,0.9861,0.9856,0.9819,0.9726,0.9389,0.8987,0.8762,0.8570,0.8333,0.7955,0.7681,0.7255,0.6771,0.6226,0.5505,0.4705,0.4252,0.3251,0.2436,0.2183,0.1912
