alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.37,0.9880,0.9587,0.9365,0.9119,0.6889,0.0404,-0.0036,0.0004,0.0021,0.0001,-0.0011,-0.0015,0.0015,0.0004,0.0018,-0.0003,0.0019,-0.0007,-0.0011,0.0006,-0.0017,0.0004,-0.0001,0.0013,-0.0009,0.0016,0.0001,0.0005,0.0012,-0.0001,-0.0008,-0.0002,0.0002,-0.0003,-0.0007,-0.0003,0.0016,0.0008,-0.0000,0.0006
0.38,0.9864,0.9583,0.9250,0.8949,0.4732,-0.0033,0.0020,0.0011,-0.0055,0.0012,0.0009,0.0004,0.0020,0.0054,0.0026,0.0013,-0.0006,-0.0005,0.0001,-0.0006,0.0013,0.0015,-0.0005,-0.0003,-0.0007,0.0001,-0.0000,0.0008,-0.0003,-0.0003,0.0008,0.0008,0.0005,0.0004,0.0004,0.0010,-0.0003,-0.0006,-0.0005,-0.0002
0.39,0.9812,0.9514,0.9229,0.8526,0.1263,-0.0054,-0.0052,-0.0019,-0.0024,0.0011,0.0017,0.0003,-0.0001,-0.0001,0.0012,0.0023,0.0006,-0.0006,0.0010,-0.0002,0.0011,0.0004,0.0010,0.0010,-0.0011,0.0012,-0.0011,0.0008,-0.0004,-0.0004,0.0007,-0.0007,-0.0012,-0.0012,-0.0001,0.0005,0.0002,-0.0006,0.0005,-0.0000
0.40,0.9856,0.9511,0.9129,0.8290,0.1210,-0.0013,-0.0020,-0.0044,-0.0005,-0.0006,-0.0000,0.0013,0.0010,-0.0003,0.0002,-0.0009,0.0014,0.0009,-0.0009,-0.0001,-0.0006,-0.0002,-0.0000,0.0002,0.0001,-0.0016,0.0007,-0.0002,0.0010,0.0008,0.0007,0.0012,-0.0003,0.0007,-0.0006,-0.0006,-0.0004,-0.0005,-0.0006,0.0000
0.41,0.9710,0.9441,0.9092,0.7118,0.0233,-0.0027,-0.0072,0.0007,-0.0017,0.0018,0.0006,-0.0032,-0.0014,0.0006,0.0004,-0.0023,-0.0012,0.0000,-0.0012,0.0011,0.0003,0.0008,-0.0003,0.0012,0.0007,-0.0007,0.0001,-0.0009,0.0006,0.0004,0.0003,0.0009,0.0005,0.0004,-0.0001,0.0002,-0.0006,-0.0006,0.0006,-0.0015
0.42,0.9809,0.9369,0.9151,0.6653,0.0152,0.0042,-0.0037,0.0030,-0.0065,0.0016,0.0022,-0.0014,0.0004,0.0021,-0.0020,-0.0007,0.0014,-0.0004,0.0003,0.0004,0.0008,-0.0008,-0.0001,0.0010,0.0015,0.0008,-0.0010,-0.0005,-0.0003,-0.0001,-0.0013,0.0005,-0.0012,-0.0016,-0.0007,-0.0006,0.0006,0.0007,-0.0007,0.0003
0.43,0.9739,0.9387,0.8704,0.2798,0.0014,-0.0071,0.0077,-0.0011,0.0017,0.0006,-0.0012,0.0001,0.0007,0.0006,-0.0010,0.0016,-0.0004,0.0001,-0.0000,0.0009,0.0005,-0.0010,0.0013,0.0005,-0.0005,-0.0003,-0.0008,-0.0002,0.0009,-0.0007,-0.0001,-0.0007,0.0001,-0.0012,0.0006,-0.0000,0.0002,0.0002,-0.0010,0.0003
0.44,0.9748,0.9378,0.8654,0.2502,-0.0000,-0.0015,-0.0025,0.0022,0.0054,0.0015,-0.0014,0.0021,0.0006,0.0008,0.0020,0.0020,-0.0009,0.0009,-0.0009,0.0003,0.0010,-0.0008,0.0011,-0.0000,0.0001,-0.0013,-0.0001,-0.0012,0.0009,0.0007,0.0003,0.0004,0.0003,0.0009,-0.0005,0.0004,-0.0002,0.0012,-0.0004,-0.0002
0.45,0.9731,0.9040,0.8204,0.0077,-0.0016,-0.0092,0.0001,0.0007,-0.0006,0.0022,-0.0001,-0.0059,-0.0017,-0.0021,-0.0011,-0.0013,-0.0003,0.0004,0.0001,0.0007,0.0014,0.0003,-0.0021,-0.0005,0.0012,-0.0009,0.0001,-0.0007,-0.0002,-0.0003,-0.0004,-0.0002,0.0000,-0.0011,0.0007,0.0005,0.0001,0.0001,-0.0001,0.0000
0.46,0.9650,0.9045,0.7746,0.0141,0.0009,0.0078,0.0021,0.0010,0.0017,0.0040,0.0027,0.0019,-0.0022,0.0024,0.0007,-0.0011,0.0014,-0.0004,0.0003,0.0004,0.0004,-0.0012,0.0018,-0.0014,-0.0008,0.0004,-0.0011,0.0008,-0.0011,0.0001,-0.0005,0.0004,-0.0004,0.0003,-0.0004,0.0001,-0.0000,0.0005,-0.0011,0.0013
0.47,0.9477,0.8902,0.5033,-0.0048,0.0025,0.0032,0.0091,-0.0018,0.0052,0.0075,-0.0025,0.0016,0.0043,-0.0001,0.0000,-0.0015,0.0013,-0.0035,0.0018,0.0007,-0.0022,-0.0006,-0.0009,0.0019,0.0010,0.0003,-0.0009,-0.0014,0.0009,-0.0001,0.0001,-0.0010,-0.0008,-0.0008,0.0001,-0.0011,0.0000,0.0004,0.0016,-0.0002
0.48,0.9668,0.8780,0.4691,-0.0028,-0.0016,-0.0057,0.0017,-0.0022,0.0001,-0.0022,0.0019,0.0024,-0.0045,-0.0005,-0.0001,0.0011,-0.0013,-0.0029,0.0006,0.0001,-0.0008,0.0003,-0.0016,-0.0003,-0.0012,-0.0001,0.0008,0.0008,-0.0018,-0.0011,-0.0010,-0.0005,-0.0007,-0.0009,0.0003,0.0014,0.0002,-0.0006,0.0015,0.0003
0.49,0.9450,0.8764,-0.0030,0.0204,0.0037,-0.0102,0.0004,-0.0039,-0.0030,-0.0011,0.0008,-0.0022,0.0011,-0.0022,0.0020,-0.0024,-0.0002,-0.0008,0.0002,0.0005,0.0002,-0.0013,0.0001,-0.0010,0.0015,-0.0005,-0.0000,0.0021,0.0023,0.0018,0.0011,0.0007,-0.0005,-0.0006,-0.0020,-0.0000,0.0007,0.0007,-0.0003,0.0006
0.50,0.9488,0.8328,-0.0076,0.0061,0.0048,-0.0011,0.0008,0.0010,0.0040,-0.0001,-0.0024,0.0020,0.0008,-0.0047,-0.0015,0.0011,-0.0003,0.0032,-0.0004,0.0008,-0.0001,-0.0005,0.0001,0.0006,-0.0017,-0.0005,-0.0013,-0.0003,0.0001,-0.0004,0.0027,0.0014,-0.0007,-0.0008,0.0004,-0.0002,0.0012,0.0013,-0.0005,0.0002
0.51,0.9092,0.6516,0.0050,0.0044,0.0050,-0.0006,-0.0033,0.0012,0.0002,-0.0022,-0.0017,0.0044,-0.0025,-0.0007,-0.0038,0.0002,0.0017,-0.0052,-0.0003,-0.0018,0.0020,0.0008,0.0026,-0.0003,0.0002,-0.0011,-0.0030,-0.0006,-0.0008,-0.0008,-0.0007,-0.0009,-0.0010,-0.0009,-0.0011,0.0001,-0.0003,-0.0011,-0.0007,-0.0006
0.52,0.8822,0.6708,-0.0040,0.0079,-0.0005,0.0016,-0.0004,-0.0032,0.0022,-0.0002,-0.0012,0.0041,-0.0019,0.0019,0.0022,-0.0001,0.0003,0.0019,-0.0000,0.0014,0.0030,0.0005,0.0003,-0.0025,-0.0018,0.0004,0.0003,0.0016,0.0005,-0.0010,-0.0001,0.0005,-0.0002,0.0002,0.0002,-0.0015,-0.0000,0.0003,-0.0005,-0.0013
0.53,0.8937,0.6071,0.0032,0.0080,-0.0162,0.0060,-0.0026,0.0024,-0.0004,-0.0009,0.0004,0.0021,0.0028,-0.0039,0.0017,-0.0014,0.0001,0.0013,0.0012,-0.0036,0.0019,-0.0016,-0.0012,0.0015,0.0010,0.0009,-0.0007,0.0002,-0.0004,-0.0005,-0.0003,-0.0006,-0.0005,0.0008,-0.0008,-0.0024,0.0007,-0.0006,-0.0006,0.0017
0.54,0.9062,0.0237,-0.0313,0.0075,0.0032,0.0054,0.0027,-0.0020,0.0044,0.0030,0.0045,-0.0009,-0.0012,-0.0017,0.0026,-0.0014,0.0020,-0.0012,0.0020,-0.0006,-0.0020,0.0007,-0.0011,-0.0015,0.0019,-0.0001,0.0013,-0.0001,0.0004,0.0009,0.0008,-0.0000,0.0004,-0.0004,0.0007,-0.0015,0.0004,-0.0016,-0.0001,0.0000
0.55,0.8219,0.0300,-0.0007,0.0033,-0.0006,0.0051,-0.0011,0.0112,-0.0070,0.0045,-0.0013,-0.0003,-0.0043,0.0011,-0.0013,0.0011,-0.0028,0.0043,-0.0005,0.0013,0.0029,-0.0008,-0.0020,-0.0010,0.0000,-0.0009,-0.0016,0.0021,-0.0001,0.0003,-0.0012,0.0011,-0.0005,-0.0002,0.0008,0.0006,-0.0010,-0.0015,0.0006,-0.0004
