alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.11,0.9452,0.9394,0.9514,0.9192,0.9027,0.8760,0.8478,0.8272,0.8134,0.7937,0.7711,0.7553,0.7332,0.7065,0.7045,0.6820,0.6703,0.5740,0.4995,0.4253,0.1949,0.1617,0.0529,0.0366,-0.0063,0.0022,-0.0005,0.0105,-0.0137,0.0025,0.0002,0.0043,-0.0076,-0.0037,0.0040,-0.0017,-0.0089,-0.0013,0.0009,0.0064
0.12,0.9497,0.9410,0.9385,0.9197,0.9047,0.8791,0.8514,0.8352,0.8116,0.7867,0.7731,0.7592,0.7366,0.7140,0.6876,0.6252,0.6218,0.4909,0.2560,0.1686,0.0305,0.0390,0.0103,0.0045,0.0035,-0.0050,-0.0042,0.0010,-0.0111,-0.0044,-0.0124,-0.0068,0.0115,-0.0021,0.0032,0.0065,-0.0006,0.0081,0.0015,0.0026
0.13,0.9468,0.9461,0.9342,0.9224,0.8991,0.8734,0.8569,0.8294,0.8093,0.8001,0.7740,0.7603,0.7438,0.7010,0.6631,0.6188,0.4188,0.3807,0.0591,0.0113,0.0112,0.0044,-0.0015,0.0020,-0.0145,-0.0049,0.0020,-0.0012,-0.0099,-0.0090,0.0034,0.0005,-0.0070,-0.0081,-0.0090,-0.0004,0.0052,-0.0112,-0.0134,0.0047
0.14,0.9517,0.9464,0.9389,0.9238,0.9072,0.8698,0.8524,0.8315,0.8115,0.7925,0.7719,0.7590,0.7164,0.7020,0.6385,0.4648,0.3174,0.0754,0.0397,-0.0003,0.0129,-0.0064,-0.0094,-0.0052,0.0028,0.0060,0.0050,0.0059,0.0051,0.0059,-0.0033,-0.0020,-0.0005,0.0029,-0.0110,-0.0041,0.0011,-0.0156,-0.0018,-0.0119
0.15,0.9437,0.9469,0.9404,0.9218,0.8987,0.8776,0.8512,0.8311,0.8067,0.7898,0.7745,0.7533,0.6998,0.6112,0.4564,0.2374,0.0702,0.0261,-0.0062,-0.0037,-0.0067,0.0020,0.0083,0.0049,-0.0255,0.0035,0.0127,-0.0000,-0.0006,-0.0125,-0.0054,-0.0017,-0.0041,0.0110,0.0056,0.0099,0.0000,-0.0023,-0.0051,-0.0044
0.16,0.9457,0.9492,0.9380,0.9271,0.9091,0.8736,0.8541,0.8311,0.8136,0.7907,0.7758,0.7442,0.6595,0.5355,0.3673,0.1478,0.0376,0.0193,-0.0125,0.0082,-0.0052,0.0103,-0.0035,0.0084,0.0092,0.0034,0.0024,-0.0010,0.0019,0.0016,0.0016,-0.0146,0.0069,-0.0018,-0.0016,-0.0036,-0.0016,-0.0009,0.0083,-0.0030
0.17,0.9499,0.9512,0.9376,0.9330,0.9039,0.8705,0.8578,0.8360,0.8125,0.7923,0.7522,0.6707,0.5590,0.2798,0.0824,0.0021,0.0300,0.0131,-0.0049,-0.0072,0.0003,0.0133,0.0054,-0.0005,-0.0158,0.0033,0.0023,0.0041,-0.0031,-0.0028,-0.0089,-0.0064,0.0057,0.0054,-0.0007,0.0026,0.0000,-0.0054,0.0124,-0.0004
0.18,0.9531,0.9497,0.9387,0.9269,0.8991,0.8749,0.8493,0.8301,0.8184,0.7931,0.7534,0.6032,0.3891,0.1386,0.0288,0.0220,-0.0003,-0.0029,-0.0038,-0.0083,-0.0099,-0.0035,-0.0059,0.0113,0.0042,-0.0140,-0.0027,-0.0011,-0.0036,0.0129,-0.0033,-0.0051,0.0003,0.0048,-0.0019,-0.0066,0.0024,0.0029,-0.0032,0.0003
0.19,0.9483,0.9505,0.9407,0.9234,0.9003,0.8737,0.8532,0.8338,0.8113,0.7862,0.6473,0.5358,0.1974,0.0914,0.0232,0.0096,-0.0059,0.0027,-0.0027,-0.0126,-0.0082,0.0004,0.0130,-0.0104,0.0004,0.0010,-0.0062,0.0063,0.0010,-0.0136,0.0108,-0.0015,-0.0051,-0.0017,-0.0003,0.0029,-0.0035,-0.0005,-0.0076,0.0005
0.20,0.9492,0.9481,0.9398,0.9245,0.8976,0.8784,0.8504,0.8313,0.7992,0.7702,0.5560,0.2270,0.0851,0.0054,-0.0168,-0.0113,0.0043,-0.0222,0.0078,-0.0022,-0.0115,-0.0079,-0.0136,0.0130,0.0045,-0.0015,-0.0126,0.0177,0.0039,0.0091,-0.0103,-0.0015,-0.0024,0.0058,-0.0006,0.0001,-0.0006,0.0091,-0.0135,0.0057
0.21,0.9518,0.9525,0.9426,0.9256,0.9016,0.8785,0.8523,0.8364,0.7717,0.6518,0.4346,0.1381,0.0341,0.0095,0.0016,-0.0075,-0.0008,0.0180,0.0109,-0.0028,0.0056,0.0083,0.0090,0.0027,-0.0102,0.0067,-0.0020,-0.0054,-0.0000,-0.0021,-0.0004,0.0095,-0.0027,0.0086,0.0038,-0.0002,-0.0039,-0.0120,-0.0121,-0.0015
0.22,0.9534,0.9512,0.9508,0.9347,0.8979,0.8825,0.8595,0.8401,0.8122,0.6919,0.2770,0.0279,0.0007,0.0191,0.0009,-0.0044,0.0060,-0.0040,-0.0117,0.0063,0.0055,0.0026,0.0005,-0.0017,0.0044,-0.0156,0.0067,-0.0015,-0.0038,0.0031,0.0095,0.0014,0.0047,0.0034,-0.0029,0.0030,-0.0007,-0.0099,-0.0058,0.0093
0.23,0.9552,0.9540,0.9425,0.9320,0.9004,0.8779,0.8494,0.8280,0.7194,0.4682,0.1626,0.0208,0.0074,-0.0017,0.0147,0.0089,0.0134,-0.0080,0.0093,0.0131,-0.0042,-0.0055,0.0026,0.0044,-0.0105,-0.0055,-0.0005,-0.0015,-0.0025,-0.0007,-0.0017,-0.0001,0.0004,0.0029,-0.0054,0.0013,-0.0076,-0.0063,0.0055,0.0003
0.24,0.9546,0.9550,0.9484,0.9211,0.9007,0.8756,0.8422,0.7533,0.6136,0.1814,-0.0249,-0.0102,-0.0053,-0.0138,-0.0001,-0.0113,-0.0082,0.0081,0.0011,0.0050,-0.0013,0.0083,0.0001,0.0014,0.0139,-0.0031,-0.0050,0.0120,0.0101,-0.0116,-0.0045,-0.0123,-0.0012,-0.0038,-0.0051,0.0015,-0.0011,-0.0038,-0.0026,-0.0014
0.25,0.9554,0.9553,0.9456,0.9263,0.9000,0.8740,0.8400,0.7415,0.4954,0.0945,0.0200,0.0066,-0.0047,-0.0188,-0.0039,-0.0100,-0.0089,-0.0074,-0.0055,0.0110,-0.0040,-0.0055,0.0021,0.0033,0.0092,0.0063,0.0009,-0.0111,-0.0055,0.0047,0.0085,0.0072,-0.0060,0.0091,0.0142,-0.0030,-0.0012,0.0065,0.0009,0.0037
0.26,0.9535,0.9539,0.9497,0.9254,0.8983,0.8799,0.8237,0.7190,0.2814,0.0641,0.0116,-0.0154,0.0234,-0.0144,-0.0062,0.0185,0.0175,-0.0098,0.0023,0.0125,-0.0076,0.0162,-0.0074,0.0002,0.0031,0.0107,0.0056,-0.0022,0.0026,0.0023,0.0024,-0.0064,0.0101,-0.0056,-0.0106,0.0049,0.0046,-0.0017,0.0121,0.0006
0.27,0.9543,0.9512,0.9426,0.9210,0.8920,0.8708,0.7003,0.5251,0.1596,0.0073,0.0046,-0.0217,0.0161,-0.0071,-0.0141,0.0002,-0.0020,-0.0105,-0.0065,-0.0082,0.0022,0.0014,0.0021,0.0073,0.0032,-0.0051,0.0009,-0.0035,0.0059,-0.0029,-0.0109,0.0070,0.0010,-0.0004,-0.0001,-0.0021,0.0093,-0.0006,0.0080,-0.0083
0.28,0.9545,0.9560,0.9416,0.9225,0.8948,0.8057,0.7436,0.3203,0.0123,0.0015,-0.0279,0.0054,0.0062,-0.0105,0.0074,-0.0022,-0.0071,0.0187,-0.0040,-0.0057,-0.0035,0.0005,0.0072,0.0076,0.0166,0.0021,-0.0077,0.0094,-0.0069,0.0002,0.0041,-0.0033,0.0024,0.0005,0.0063,-0.0000,0.0019,0.0159,0.0054,-0.0004
