disorder,step,phi_a,phi_b,q12
1,69392,0.182943,0.435230,-0.052466
1,69408,0.184591,0.504930,-0.069558
1,69424,0.157651,0.472654,-0.036032
1,69440,0.202852,0.476559,-0.013835
1,69456,0.210556,0.487963,-0.003102
1,69472,0.215206,0.465132,-0.059920
1,69488,0.184790,0.420092,-0.129140
1,69504,0.147152,0.455132,-0.187846
1,69520,0.183402,0.447399,-0.157672
1,69536,0.164561,0.431636,-0.178080
1,69552,0.148587,0.421829,-0.126174
1,69568,0.206619,0.457660,-0.062782
1,69584,0.203566,0.469104,0.002525
1,69600,0.190403,0.440225,-0.025211
1,69616,0.169052,0.475368,-0.089697
1,69632,0.174383,0.441460,-0.137546
1,262160,0.165237,0.213129,-0.149545
1,262176,0.149678,0.273894,-0.163077
1,262192,0.089749,0.202977,-0.167966
1,262208,0.151252,0.139562,-0.146836
1,262224,0.161146,0.120022,-0.128983
1,262240,0.149606,0.100719,-0.141219
1,262256,0.185821,0.111337,-0.228138
1,262272,0.158585,0.138810,-0.224515
1,262288,0.079591,0.124329,-0.119462
1,262304,0.124657,0.067909,-0.150734
1,262320,0.127905,0.110804,-0.137339
1,262336,0.156560,0.193199,-0.169131
1,262352,0.190028,0.136564,-0.164933
1,262368,0.204663,0.147139,-0.120179
1,262384,0.123286,0.240071,-0.119316
1,262400,0.187767,0.238294,-0.108794
1,262416,0.157922,0.234400,0.001103
1,262432,0.113285,0.239440,-0.081333
1,262448,0.107023,0.193268,-0.107799
1,262464,0.131929,0.279522,-0.144761
1,262480,0.172854,0.222404,-0.128701
1,262496,0.227203,0.225709,-0.126273
1,262512,0.082143,0.239619,-0.095099
1,262528,0.104896,0.247992,-0.085509
1,262544,0.110742,0.295865,-0.076378
1,262560,0.111108,0.282787,-0.134227
1,262576,0.154887,0.216263,-0.171010
1,262592,0.145380,0.179505,-0.252741
1,262608,0.127017,0.132632,-0.229902
1,262624,0.134484,0.163829,-0.192695
1,262640,0.214915,0.140828,-0.219321
1,262656,0.221948,0.121730,-0.244726
1,262672,0.227524,0.092718,-0.245771
1,262688,0.202187,0.131450,-0.247489
1,262704,0.199771,0.154948,-0.119405
1,262720,0.237526,0.175628,-0.116288
1,262736,0.287411,0.159064,-0.007981
1,262752,0.238045,0.178357,-0.140512
1,262768,0.188874,0.125070,-0.136791
1,262784,0.173478,0.152724,-0.043979
1,262800,0.136214,0.076317,-0.136553
1,262816,0.169613,0.075401,-0.103162
1,262832,0.153457,0.066292,-0.138890
1,262848,0.141766,0.127233,-0.202435
1,262864,0.084003,0.155724,-0.155792
1,262880,0.117864,0.074710,-0.158168
1,262896,0.050612,0.069447,-0.145817
1,262912,0.066940,0.098467,-0.112901
1,262928,0.084933,0.088476,-0.016124
1,262944,0.078778,0.130906,-0.066682
1,262960,0.071906,0.160301,-0.128792
1,262976,0.041328,0.191226,-0.083500
1,262992,0.068586,0.162200,-0.083567
1,263008,0.054802,0.212231,-0.118956
1,263024,0.054060,0.211572,-0.156747
1,263040,0.061813,0.181930,-0.172530
1,263056,0.126792,0.178110,-0.168248
1,263072,0.184212,0.183871,-0.163849
1,263088,0.237816,0.179314,-0.113712
1,263104,0.177802,0.165810,-0.033916
1,263120,0.193731,0.098966,-0.099287
1,263136,0.144635,0.109290,-0.201194
1,263152,0.113571,0.079836,-0.172429
1,263168,0.062604,0.102916,-0.066417
1,263184,0.102834,0.119275,-0.018785
1,263200,0.099851,0.088476,-0.041386
1,263216,0.126430,0.083121,0.032943
1,263232,0.078940,0.084536,-0.007316
1,263248,0.111213,0.070870,-0.081080
1,263264,0.119390,0.081676,-0.035758
1,263280,0.175148,0.148667,0.010786
1,263296,0.165861,0.173471,-0.055499
1,263312,0.115356,0.231310,-0.175828
1,263328,0.123899,0.201435,-0.156565
1,263344,0.141504,0.206111,-0.187753
1,263360,0.141399,0.155832,-0.196986
1,263376,0.081336,0.146802,-0.405534
1,263392,0.067603,0.109722,-0.317622
1,263408,0.090445,0.115783,-0.303396
1,263424,0.065338,0.230301,-0.256342
1,263440,0.088711,0.198796,-0.230264
1,263456,0.127244,0.222883,-0.254624
1,263472,0.150489,0.169732,-0.240843
1,263488,0.208466,0.189165,-0.151071
1,263504,0.191716,0.144228,-0.210170
1,263520,0.105299,0.175382,-0.172189
1,263536,0.093478,0.158649,-0.243844
1,263552,0.121786,0.075260,-0.173465
1,263568,0.108910,0.107073,-0.102946
1,263584,0.129842,0.145427,-0.050307
1,263600,0.128744,0.180210,-0.032855
1,263616,0.126490,0.174626,-0.048019
1,263632,0.143437,0.222131,-0.023290
1,263648,0.182802,0.211657,-0.098459
1,263664,0.159942,0.244893,-0.059741
1,263680,0.116419,0.220560,-0.075025
1,263696,0.068440,0.209652,-0.152251
1,263712,0.107403,0.227001,-0.107574
1,263728,0.115118,0.261661,-0.058473
1,263744,0.177682,0.291427,-0.105196
1,263760,0.139956,0.246044,-0.182477
1,263776,0.136493,0.283984,-0.176785
1,263792,0.136493,0.275286,-0.178678
1,263808,0.142940,0.215521,-0.216993
1,263824,0.086898,0.227879,-0.192264
1,263840,0.091289,0.280140,-0.130683
1,263856,0.056595,0.255465,-0.148342
1,263872,0.060178,0.181682,-0.081574
1,263888,0.047375,0.186563,-0.067109
1,263904,0.100478,0.173066,-0.035872
1,263920,0.093570,0.171074,-0.038214
1,263936,0.152613,0.206564,-0.055037
1,263952,0.206619,0.204483,-0.124799
1,263968,0.187882,0.248564,-0.159146
1,263984,0.167313,0.258689,-0.162741
1,264000,0.185887,0.261324,-0.095107
1,264016,0.173474,0.277040,-0.160259
1,264032,0.129930,0.199101,-0.167824
1,264048,0.228750,0.138789,-0.136779
1,264064,0.227120,0.194618,-0.115278
1,264080,0.207486,0.159728,-0.125104
1,264096,0.183310,0.175433,-0.136809
1,264112,0.183690,0.240207,-0.116479
1,264128,0.170405,0.232720,-0.143237
1,264144,0.178791,0.215795,-0.241268
1,264160,0.142800,0.206680,-0.240021
1,264176,0.187361,0.190119,-0.227823
1,264192,0.158416,0.184705,-0.218677
1,264208,0.109016,0.194803,-0.306996
1,264224,0.115672,0.152484,-0.225288
1,264240,0.149858,0.106904,-0.170479
1,264256,0.160553,0.132937,-0.255309
1,264272,0.168322,0.201786,-0.238178
1,264288,0.147049,0.209227,-0.211663
1,264304,0.096505,0.236547,-0.178205
1,264320,0.136431,0.264786,-0.170862
1,264336,0.118921,0.241846,-0.179523
1,264352,0.089696,0.243441,-0.169697
1,264368,0.103773,0.259011,-0.217186
1,264384,0.115842,0.215822,-0.148628
1,264400,0.100898,0.171415,-0.063753
1,264416,0.138076,0.268743,-0.059587
1,264432,0.192656,0.221004,-0.198071
1,264448,0.151019,0.153755,-0.138027
1,264464,0.145489,0.098947,-0.199603
1,264480,0.102221,0.094463,-0.124180
1,264496,0.101430,0.075211,-0.104738
1,264512,0.108377,0.119982,-0.051050
1,264528,0.054917,0.176905,-0.049218
1,264544,0.106219,0.212237,-0.109229
1,264560,0.073432,0.213056,-0.018060
1,264576,0.126543,0.207881,0.010772
1,264592,0.171721,0.180276,0.013556
1,264608,0.174932,0.195208,-0.026442
1,264624,0.187120,0.189880,-0.066573
1,264640,0.169253,0.164608,-0.106385
1,264656,0.217670,0.149508,-0.130995
1,264672,0.217434,0.189327,-0.050871
1,264688,0.210986,0.179621,-0.054510
1,264704,0.187686,0.179053,-0.056516
1,264720,0.153358,0.169969,-0.089828
1,264736,0.189320,0.246072,0.011121
1,264752,0.164077,0.275358,-0.000960
1,264768,0.160890,0.226014,-0.074063
1,264784,0.166065,0.256197,-0.109947
1,264800,0.173345,0.272262,-0.090324
1,264816,0.164834,0.211228,-0.023830
