alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.20,0.80,50,5568,-1,2253,0.6138,4.0578e-05,NaN,7.1794e-04,NaN
0.20,0.80,50,2444,2648,16553,0.5820,6.2608e-05,NaN,1.9394e-02,8.7456e-04
0.20,0.80,50,3932,-1,10842,0.5400,4.5537e-05,NaN,1.6365e-04,NaN
0.20,0.80,50,1860,-1,13806,0.5352,9.7536e-05,NaN,1.2441e-04,NaN
0.20,0.80,50,100,304,865,0.6377,1.7277e-03,NaN,9.7225e-03,2.9136e-03
0.20,0.80,50,5800,-1,1159,0.5488,2.7393e-05,NaN,2.1087e-04,NaN
0.20,0.80,50,792,-1,14806,0.5645,1.9985e-04,NaN,1.1504e-04,NaN
0.20,0.80,50,1428,-1,7591,0.4775,1.0271e-04,NaN,1.0390e-04,NaN
0.20,0.80,50,1592,-1,468,0.4353,6.3035e-05,NaN,8.9081e-05,NaN
0.20,0.80,50,8624,-1,12073,0.5205,2.1303e-05,NaN,6.0338e-04,NaN
0.20,0.80,50,6248,-1,13430,0.5850,4.2069e-05,NaN,3.0930e-04,NaN
0.20,0.80,50,9640,-1,14179,0.6001,2.7096e-05,NaN,5.2520e-03,NaN
0.20,0.80,50,5884,-1,19175,0.4312,2.7550e-05,NaN,1.8723e-04,NaN
0.20,0.80,50,1876,2444,3657,0.6323,9.2002e-05,NaN,3.6892e-03,3.2541e-03
0.20,0.80,50,8456,8660,14035,0.5576,2.2536e-05,NaN,1.2082e-02,7.2591e-03
0.20,0.80,50,3488,-1,2087,0.5176,5.8350e-05,NaN,1.5703e-04,NaN
0.20,0.80,50,1928,5860,944,0.5981,9.3300e-05,NaN,8.9089e-04,8.0951e-04
0.20,0.80,50,412,-1,10412,0.5874,4.6717e-04,NaN,1.2156e-04,NaN
0.20,0.80,50,9332,-1,6898,0.5820,2.3198e-05,NaN,1.4292e-03,NaN
0.20,0.80,50,3676,-1,12164,0.4934,4.5417e-05,NaN,1.3279e-04,NaN
0.20,0.80,50,516,-1,16540,0.4004,1.3963e-04,NaN,1.3648e-04,NaN
0.20,0.80,50,4988,5192,19496,0.5776,4.4054e-05,NaN,1.9594e-02,7.7764e-04
0.20,0.80,50,8780,-1,18215,0.5303,2.3527e-05,NaN,7.4142e-04,NaN
0.20,0.80,50,2404,3632,11371,0.6284,9.3835e-05,NaN,1.3266e-03,1.6442e-03
0.20,0.80,50,320,9000,12465,0.5596,5.0815e-04,NaN,1.6760e-04,3.9578e-04
0.20,0.80,50,4768,-1,18457,0.5562,4.9553e-05,NaN,1.0906e-04,NaN
0.20,0.80,50,180,-1,10813,0.4976,4.2557e-04,NaN,4.4781e-04,NaN
0.20,0.80,50,2304,2508,12897,0.6499,8.3192e-05,NaN,3.9297e-02,6.1356e-04
0.20,0.80,50,4540,9764,992,0.5527,4.0843e-05,NaN,2.6797e-04,2.1768e-02
0.20,0.80,50,1212,-1,14225,0.5361,1.2091e-04,NaN,1.0906e-04,NaN
