# N=500  K=10000  betanet=1.0  generated=2026-05-30T22:57:02.395
alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.400,0.04503,4,0.978745,0.978748,0.957918,0.737184
0.400,0.04503,5,0.977975,0.977185,0.955544,0.737088
0.400,0.04503,6,0.976970,0.977564,0.955777,0.735347
0.400,0.04503,7,0.976780,0.978232,0.957601,0.736523
0.400,0.04503,8,0.978129,0.978826,0.958626,0.735853
0.400,0.04503,9,0.976868,0.976907,0.952752,0.737573
0.400,0.04503,10,0.976708,0.977742,0.956770,0.736296
0.400,0.04503,11,0.979916,0.977820,0.957395,0.736883
0.400,0.04503,12,0.978731,0.977156,0.953609,0.736198
0.400,0.04503,13,0.978088,0.975361,0.953209,0.735550
0.400,0.04503,14,0.978017,0.977829,0.956131,0.736149
0.400,0.04503,15,0.977851,0.978053,0.960244,0.735901
0.400,0.04503,16,0.978185,0.979438,0.958337,0.736664
0.400,0.04503,17,0.977730,0.977308,0.955833,0.736817
0.400,0.04503,18,0.978786,0.977315,0.955277,0.737473
0.400,0.04503,19,0.977937,0.976665,0.955985,0.737451
0.400,0.04503,20,0.977629,0.977301,0.956306,0.736147
0.400,0.04503,21,0.976825,0.978383,0.956882,0.735699
0.400,0.04503,22,0.978071,0.978613,0.954997,0.737785
0.400,0.04503,23,0.976676,0.977720,0.954456,0.736676
0.400,0.04503,24,0.979655,0.979517,0.959307,0.736991
0.400,0.04503,25,0.977523,0.976500,0.955212,0.739518
0.400,0.04503,26,0.978641,0.976798,0.954598,0.736535
0.400,0.04503,27,0.978508,0.977129,0.956102,0.736490
0.400,0.04503,28,0.978384,0.976758,0.953770,0.736475
0.400,0.04503,29,0.979070,0.976018,0.956051,0.737491
0.400,0.04503,30,0.977621,0.976695,0.954304,0.737138
0.400,0.04503,31,0.978634,0.978910,0.959502,0.738077
0.400,0.04503,32,0.977272,0.976314,0.955313,0.736768
0.400,0.04503,33,0.978812,0.978327,0.958506,0.737617
0.400,0.04503,34,0.977171,0.977007,0.954425,0.735233
0.400,0.04503,35,0.978419,0.977738,0.956051,0.738028
0.400,0.04503,36,0.978918,0.977284,0.958408,0.737392
0.400,0.04503,37,0.977635,0.977816,0.955772,0.736526
0.400,0.04503,38,0.976959,0.977327,0.954958,0.737099
0.400,0.04503,39,0.977008,0.977795,0.953821,0.736336
0.400,0.04503,40,0.979584,0.978522,0.959406,0.738625
0.400,0.04503,41,0.977779,0.977091,0.955830,0.736079
0.400,0.04503,42,0.978431,0.979386,0.958064,0.736965
0.400,0.04503,43,0.975991,0.979104,0.955145,0.736171
0.400,0.04503,44,0.977578,0.977200,0.956043,0.736990
0.400,0.04503,45,0.976177,0.976889,0.953693,0.735988
0.400,0.04503,46,0.976172,0.979853,0.956079,0.738582
0.400,0.04503,47,0.977029,0.977530,0.953292,0.736221
0.400,0.04503,48,0.979266,0.978309,0.958087,0.737021
0.400,0.04503,49,0.978962,0.977342,0.956518,0.737523
0.400,0.04503,50,0.978296,0.977136,0.954910,0.736335
0.400,0.04503,51,0.978041,0.976271,0.954155,0.736955
0.400,0.04503,52,0.977525,0.976342,0.954525,0.735799
0.400,0.04503,53,0.976600,0.978908,0.953841,0.737022
0.400,0.04503,54,0.976808,0.978288,0.954893,0.737913
0.400,0.04503,55,0.977799,0.977805,0.955755,0.736259
0.400,0.04503,56,0.978446,0.978212,0.957248,0.736722
0.400,0.04503,57,0.978341,0.976777,0.954924,0.737629
0.400,0.04503,58,0.978882,0.978658,0.958986,0.737101
0.400,0.04503,59,0.976610,0.977734,0.955849,0.736851
0.400,0.04503,60,0.977331,0.977171,0.954647,0.736840
0.400,0.04503,61,0.977038,0.977947,0.955094,0.735665
0.400,0.04503,62,0.977619,0.979138,0.956824,0.738694
0.400,0.04503,63,0.978265,0.978314,0.956746,0.737454
0.400,0.04503,64,0.975942,0.977886,0.953784,0.735765
0.400,0.04503,65,0.976314,0.977733,0.953729,0.736554
0.400,0.04503,66,0.977025,0.977101,0.955649,0.738118
0.400,0.04503,67,0.978379,0.977845,0.957332,0.735880
0.400,0.04503,68,0.976654,0.979230,0.957573,0.736310
0.400,0.04503,69,0.977926,0.977573,0.956655,0.737071
0.400,0.04503,70,0.978563,0.976844,0.956700,0.737155
0.400,0.04503,71,0.977573,0.977905,0.956069,0.739294
0.400,0.04503,72,0.978369,0.977587,0.957024,0.736321
0.400,0.04503,73,0.977821,0.978619,0.957156,0.737282
0.400,0.04503,74,0.976382,0.978527,0.957371,0.735790
0.400,0.04503,75,0.975959,0.978029,0.956285,0.735860
0.400,0.04503,76,0.976938,0.979248,0.955992,0.736831
0.400,0.04503,77,0.977709,0.978676,0.955448,0.737220
0.400,0.04503,78,0.977148,0.978773,0.957488,0.736110
0.400,0.04503,79,0.977865,0.979055,0.958222,0.737371
0.400,0.04503,80,0.978859,0.977672,0.955924,0.738648
