# N=500  K=10000  N_REFRESH=100  betanet=1.0  generated=2026-06-01T11:33:01.514
alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.400,0.40213,16,0.823506,0.825159,0.676257,0.736194
0.400,0.43267,1,-0.010640,-0.006270,0.010717,0.725318
0.400,0.43267,2,0.009568,-0.009638,0.007857,0.725612
0.400,0.43267,3,0.030786,-0.005549,0.003453,0.725322
0.400,0.43267,4,0.010700,0.006421,0.002032,0.724997
0.400,0.43267,5,-0.000364,0.001408,0.026939,0.725560
0.400,0.43267,6,0.028237,0.029780,0.016778,0.725626
0.400,0.43267,7,-0.001022,-0.014294,-0.002354,0.725298
0.400,0.43267,8,0.020423,0.014415,0.004524,0.725475
0.400,0.43267,9,-0.043255,0.010009,0.006275,0.725551
0.400,0.43267,10,0.022306,-0.039841,-0.008475,0.725549
0.400,0.43267,11,-0.025854,0.017282,-0.027414,0.725130
0.400,0.43267,12,0.019094,-0.010630,-0.012401,0.725017
0.400,0.43267,13,0.023423,0.038646,-0.000524,0.725391
0.400,0.43267,14,0.019792,0.009780,0.008721,0.725352
0.400,0.43267,15,0.005036,-0.005507,-0.005633,0.725062
0.400,0.43267,16,-0.001115,-0.033943,0.013755,0.725601
0.400,0.46322,1,0.014759,-0.020835,-0.007793,0.722161
0.400,0.46322,2,0.017611,-0.000038,0.002897,0.722054
0.400,0.46322,3,0.013498,-0.009288,0.007597,0.722147
0.400,0.46322,4,0.001081,-0.022701,-0.010084,0.722398
0.400,0.46322,5,-0.051354,0.014828,-0.004380,0.722334
0.400,0.46322,6,-0.032972,0.001983,-0.008618,0.722418
0.400,0.46322,7,0.033382,-0.001100,-0.012271,0.722083
0.400,0.46322,8,-0.019070,-0.046381,0.011506,0.722259
0.400,0.46322,9,-0.007256,0.013019,-0.002498,0.722154
0.400,0.46322,10,-0.013282,0.009999,-0.012812,0.722247
0.400,0.46322,11,0.013779,0.013680,0.008833,0.722110
0.400,0.46322,12,0.012480,-0.003741,0.004886,0.721946
0.400,0.46322,13,-0.018329,0.013129,-0.003980,0.722070
0.400,0.46322,14,-0.003414,0.022352,0.015482,0.722370
0.400,0.46322,15,-0.021210,-0.024385,0.026011,0.722039
0.400,0.46322,16,0.012067,-0.005179,0.014087,0.721848
0.400,0.49377,1,-0.005036,0.023089,-0.004146,0.718578
0.400,0.49377,2,-0.003582,0.009871,-0.000503,0.718694
0.400,0.49377,3,-0.017331,-0.002014,0.002144,0.718967
0.400,0.49377,4,-0.010242,-0.007649,-0.013726,0.719135
0.400,0.49377,5,-0.006579,0.002963,-0.011704,0.718708
0.400,0.49377,6,0.032110,0.025331,-0.010111,0.718483
0.400,0.49377,7,0.016920,-0.004181,-0.003770,0.718652
0.400,0.49377,8,0.023450,0.005494,0.009774,0.718786
0.400,0.49377,9,-0.015779,0.025704,-0.016189,0.718806
0.400,0.49377,10,-0.026322,-0.004029,-0.011969,0.719072
0.400,0.49377,11,0.008866,0.000043,0.010148,0.718188
0.400,0.49377,12,0.022904,-0.024105,0.015228,0.718746
0.400,0.49377,13,-0.002268,0.008014,0.012013,0.718147
0.400,0.49377,14,0.051104,0.002233,-0.002364,0.718917
0.400,0.49377,15,0.003865,-0.025070,-0.009471,0.718734
0.400,0.49377,16,-0.013776,-0.013752,0.005598,0.718548
0.400,0.52432,1,-0.025249,0.019222,-0.008632,0.714847
0.400,0.52432,2,0.023364,0.006447,-0.012340,0.714796
0.400,0.52432,3,0.002326,0.012609,0.009948,0.714855
0.400,0.52432,4,0.012918,-0.004993,-0.007808,0.715353
0.400,0.52432,5,-0.008078,-0.017156,-0.013967,0.714808
0.400,0.52432,6,-0.010644,-0.020575,0.010088,0.714364
0.400,0.52432,7,-0.000786,0.023468,-0.014458,0.714986
0.400,0.52432,8,0.043028,-0.016296,0.010121,0.714537
0.400,0.52432,9,0.001508,0.006908,-0.005703,0.714967
0.400,0.52432,10,-0.018567,-0.021736,0.009617,0.714590
0.400,0.52432,11,-0.008229,0.016455,-0.028861,0.714984
0.400,0.52432,12,0.001541,0.030031,0.011108,0.714995
0.400,0.52432,13,-0.002313,-0.005376,0.001641,0.715124
0.400,0.52432,14,-0.005189,0.028083,-0.001921,0.714978
0.400,0.52432,15,0.006868,0.000606,-0.002221,0.714783
0.400,0.52432,16,0.002194,-0.007988,0.000971,0.715328
0.400,0.55487,1,0.017453,0.008914,0.003300,0.710607
0.400,0.55487,2,-0.022959,0.004170,-0.005199,0.710925
0.400,0.55487,3,0.019946,0.012178,0.014403,0.710490
0.400,0.55487,4,-0.001626,-0.032850,-0.016224,0.711088
0.400,0.55487,5,0.010399,-0.022050,-0.005567,0.710360
0.400,0.55487,6,0.018436,-0.008547,-0.001708,0.711198
0.400,0.55487,7,-0.008451,0.009496,0.018215,0.710819
0.400,0.55487,8,0.019129,0.025157,-0.006736,0.711002
0.400,0.55487,9,-0.027914,0.010322,-0.015344,0.710877
0.400,0.55487,10,0.021837,0.022553,-0.009300,0.711114
0.400,0.55487,11,-0.004843,-0.002930,-0.015643,0.710978
0.400,0.55487,12,-0.001455,0.038074,0.002850,0.710243
0.400,0.55487,13,-0.008606,0.006364,-0.008644,0.710763
0.400,0.55487,14,-0.012693,-0.002190,0.024845,0.710606
0.400,0.55487,15,0.007780,-0.007457,0.001703,0.710942
0.400,0.55487,16,-0.016502,-0.031390,0.010092,0.710713
0.400,0.58542,1,0.017393,0.015526,0.002813,0.706393
0.400,0.58542,2,-0.017596,0.008334,-0.008286,0.706376
0.400,0.58542,3,0.005843,0.006989,-0.000446,0.706688
0.400,0.58542,4,-0.021949,0.025873,0.008972,0.706731
0.400,0.58542,5,-0.001578,0.007198,0.003100,0.706738
0.400,0.58542,6,0.023224,0.012433,-0.002884,0.705873
0.400,0.58542,7,0.022864,-0.018809,-0.000145,0.706979
0.400,0.58542,8,0.011353,-0.019698,0.008265,0.706261
0.400,0.58542,9,-0.001517,-0.016407,-0.001188,0.706431
0.400,0.58542,10,-0.014301,-0.014655,0.012891,0.705655
0.400,0.58542,11,-0.019754,0.004189,0.007837,0.705450
0.400,0.58542,12,0.011420,0.000075,-0.021872,0.706824
0.400,0.58542,13,0.005421,0.003888,0.010729,0.706203
0.400,0.58542,14,0.025734,0.002377,-0.002754,0.706465
0.400,0.58542,15,-0.010045,-0.005551,0.012487,0.706457
0.400,0.58542,16,-0.000605,-0.017523,0.007633,0.706676
0.450,0.00500,1,0.998059,0.997677,0.995710,0.767355
0.450,0.00500,2,0.997808,0.997765,0.995503,0.767594
0.450,0.00500,3,0.998064,0.997762,0.996172,0.767266
0.450,0.00500,4,0.998084,0.997779,0.995835,0.767555
0.450,0.00500,5,0.998069,0.997713,0.995821,0.767315
0.450,0.00500,6,0.997721,0.997989,0.995605,0.767417
0.450,0.00500,7,0.997988,0.997903,0.995700,0.767397
0.450,0.00500,8,0.997661,0.997905,0.995623,0.767377
0.450,0.00500,9,0.997582,0.997991,0.995676,0.767178
0.450,0.00500,10,0.997678,0.997919,0.995950,0.767302
0.450,0.00500,11,0.998068,0.998070,0.996289,0.767216
0.450,0.00500,12,0.997598,0.997758,0.995833,0.767415
0.450,0.00500,13,0.997668,0.997738,0.995673,0.767521
0.450,0.00500,14,0.998083,0.997767,0.995873,0.767094
0.450,0.00500,15,0.998013,0.997911,0.995643,0.767544
0.450,0.03150,1,0.984817,0.984604,0.969103,0.767372
0.450,0.03150,2,0.984457,0.984282,0.971177,0.767152
0.450,0.03150,3,0.983238,0.983271,0.966069,0.767501
0.450,0.03150,4,0.984412,0.984806,0.968918,0.767534
0.450,0.03150,5,0.984551,0.984547,0.966949,0.767601
0.450,0.03150,6,0.984084,0.985206,0.968324,0.767446
0.450,0.03150,7,0.985182,0.984835,0.969401,0.767543
0.450,0.03150,8,0.983998,0.984769,0.967331,0.767390
0.450,0.03150,9,0.983760,0.985116,0.967656,0.767521
0.450,0.03150,10,0.984256,0.984344,0.970583,0.767509
0.450,0.03150,11,0.985143,0.984654,0.969327,0.767164
0.450,0.03150,12,0.983098,0.984325,0.968409,0.767585
0.450,0.03150,13,0.983596,0.985454,0.968195,0.767288
0.450,0.03150,14,0.984092,0.984789,0.969002,0.767464
0.450,0.03150,15,0.985167,0.984307,0.970494,0.767490
0.450,0.05800,1,0.972307,0.974082,0.947479,0.767424
0.450,0.05800,2,0.969115,0.971848,0.942881,0.767223
0.450,0.05800,3,0.971943,0.971847,0.948668,0.767361
0.450,0.05800,4,0.969334,0.972648,0.941026,0.767401
0.450,0.05800,5,0.969865,0.971978,0.941248,0.767551
0.450,0.05800,6,0.970601,0.972156,0.942076,0.767741
0.450,0.05800,7,0.972262,0.970421,0.945966,0.767319
0.450,0.05800,8,0.972368,0.970226,0.943943,0.767321
0.450,0.05800,9,0.970321,0.970751,0.940571,0.767614
0.450,0.05800,10,0.972079,0.969588,0.941827,0.767406
0.450,0.05800,11,0.970177,0.972493,0.943763,0.767428
0.450,0.05800,12,0.970187,0.970916,0.942765,0.767535
0.450,0.05800,13,0.972621,0.972449,0.946141,0.767562
0.450,0.05800,14,0.970597,0.972103,0.942697,0.767199
0.450,0.05800,15,0.970549,0.970984,0.940508,0.767157
0.450,0.08449,1,0.960639,0.958391,0.918375,0.767582
0.450,0.08449,2,0.959323,0.956936,0.919239,0.767521
0.450,0.08449,3,0.956035,0.956612,0.916364,0.767392
0.450,0.08449,4,0.958614,0.961863,0.920236,0.767630
0.450,0.08449,5,0.956439,0.961566,0.917710,0.767242
0.450,0.08449,6,0.958628,0.962080,0.922556,0.767440
0.450,0.08449,7,0.957420,0.959922,0.918569,0.767549
0.450,0.08449,8,0.959312,0.955462,0.919514,0.767368
0.450,0.08449,9,0.958449,0.959216,0.916605,0.767631
0.450,0.08449,10,0.959778,0.957773,0.920572,0.767426
0.450,0.08449,11,0.958906,0.958341,0.918281,0.767329
0.450,0.08449,12,0.960630,0.957378,0.918882,0.767111
0.450,0.08449,13,0.958275,0.960052,0.916304,0.767510
0.450,0.08449,14,0.960249,0.961945,0.922741,0.767425
0.450,0.08449,15,0.957745,0.959059,0.919050,0.767310
0.450,0.11099,1,0.947434,0.947308,0.897351,0.767528
0.450,0.11099,2,0.948560,0.945694,0.895614,0.767640
0.450,0.11099,3,0.946357,0.945813,0.894482,0.767459
0.450,0.11099,4,0.945636,0.941393,0.893713,0.767512
0.450,0.11099,5,0.951036,0.949087,0.903064,0.767521
0.450,0.11099,6,0.945064,0.944406,0.892526,0.767491
0.450,0.11099,7,0.948073,0.946666,0.895121,0.767478
0.450,0.11099,8,0.947635,0.941724,0.898874,0.767537
0.450,0.11099,9,0.943287,0.945041,0.891416,0.767208
0.450,0.11099,10,0.949098,0.946052,0.898027,0.767551
0.450,0.11099,11,0.948386,0.950458,0.901424,0.767291
0.450,0.11099,12,0.948801,0.945198,0.897201,0.767632
0.450,0.11099,13,0.946478,0.945883,0.895093,0.767162
0.450,0.11099,14,0.946952,0.941571,0.894763,0.767578
0.450,0.11099,15,0.944279,0.948630,0.895580,0.767410
0.450,0.13749,1,0.929642,0.935744,0.871402,0.767517
0.450,0.13749,2,0.933232,0.935694,0.877244,0.767221
0.450,0.13749,3,0.933685,0.931738,0.868333,0.767341
0.450,0.13749,4,0.929852,0.932016,0.871177,0.767403
0.450,0.13749,5,0.930335,0.936182,0.872200,0.767286
0.450,0.13749,6,0.935621,0.936464,0.876511,0.767234
0.450,0.13749,7,0.935374,0.930756,0.867358,0.767347
0.450,0.13749,8,0.935296,0.933177,0.876271,0.767664
0.450,0.13749,9,0.933988,0.932270,0.872278,0.767193
0.450,0.13749,10,0.935617,0.933369,0.872632,0.767427
0.450,0.13749,11,0.935067,0.933913,0.874391,0.767371
0.450,0.13749,12,0.936587,0.929634,0.871816,0.767269
0.450,0.13749,13,0.935837,0.935832,0.876700,0.767355
0.450,0.13749,14,0.937019,0.938095,0.874704,0.767465
0.450,0.13749,15,0.936840,0.935351,0.883727,0.767405
0.450,0.16399,1,0.921277,0.921639,0.846514,0.767290
0.450,0.16399,2,0.919644,0.917835,0.843074,0.767438
0.450,0.16399,3,0.918288,0.920545,0.843171,0.767389
0.450,0.16399,4,0.922954,0.920209,0.851694,0.767445
0.450,0.16399,5,0.919195,0.917941,0.842619,0.767331
0.450,0.16399,6,0.919400,0.920907,0.842132,0.767381
0.450,0.16399,7,0.921956,0.922807,0.852860,0.767532
0.450,0.16399,8,0.924181,0.924250,0.858573,0.767193
0.450,0.16399,9,0.922865,0.924970,0.853042,0.767379
0.450,0.16399,10,0.921705,0.922103,0.853029,0.767508
0.450,0.16399,11,0.921750,0.922883,0.846748,0.767355
0.450,0.16399,12,0.923722,0.924393,0.857358,0.767205
0.450,0.16399,13,0.918214,0.920964,0.847172,0.767367
0.450,0.16399,14,0.922145,0.923220,0.849143,0.767476
0.450,0.16399,15,0.922185,0.924422,0.851679,0.767376
0.450,0.19048,1,0.910343,0.907718,0.829468,0.767278
0.450,0.19048,2,0.903763,0.905744,0.815344,0.767367
0.450,0.19048,3,0.913949,0.908990,0.830793,0.767103
0.450,0.19048,4,0.909766,0.904633,0.823317,0.767234
0.450,0.19048,5,0.907260,0.912300,0.828148,0.767125
0.450,0.19048,6,0.908483,0.908222,0.825934,0.767350
0.450,0.19048,7,0.911406,0.907651,0.827209,0.767294
0.450,0.19048,8,0.907659,0.910448,0.827758,0.767155
0.450,0.19048,9,0.908320,0.914996,0.829781,0.767267
0.450,0.19048,10,0.907797,0.909958,0.825220,0.767208
0.450,0.19048,11,0.908038,0.907649,0.821576,0.767376
