======================================================================
Finite-Size Scaling for LSE (CPU, 10 threads)
  α = 0.2
  N values: [20, 25, 30, 35]
  T values: 40 (exponential grid, T_max = 1.0)
  n_dis = 200, N_eq = 16384, N_samp = 4096
  Total trials: 32000
======================================================================

  T=0.1674: ⟨φ⟩=0.922, ⟨φ_{1,max}⟩=0.520 (48.9 s)
  T=0.1870: ⟨φ⟩=0.913, ⟨φ_{1,max}⟩=0.521 (51.8 s)
  T=0.2086: ⟨φ⟩=0.904, ⟨φ_{1,max}⟩=0.526 (46.7 s)
  T=0.2325: ⟨φ⟩=0.893, ⟨φ_{1,max}⟩=0.521 (49.0 s)
  T=0.2590: ⟨φ⟩=0.881, ⟨φ_{1,max}⟩=0.519 (44.6 s)
  T=0.2882: ⟨φ⟩=0.867, ⟨φ_{1,max}⟩=0.519 (46.8 s)
  T=0.3204: ⟨φ⟩=0.846, ⟨φ_{1,max}⟩=0.517 (50.4 s)
  T=0.3561: ⟨φ⟩=0.810, ⟨φ_{1,max}⟩=0.515 (46.6 s)
  T=0.3955: ⟨φ⟩=0.709, ⟨φ_{1,max}⟩=0.518 (55.9 s)
  T=0.4391: ⟨φ⟩=0.420, ⟨φ_{1,max}⟩=0.518 (47.1 s)
  T=0.4872: ⟨φ⟩=0.108, ⟨φ_{1,max}⟩=0.531 (44.2 s)
  T=0.5404: ⟨φ⟩=-0.005, ⟨φ_{1,max}⟩=0.527 (47.5 s)
  T=0.5992: ⟨φ⟩=0.001, ⟨φ_{1,max}⟩=0.519 (46.9 s)
  T=0.6642: ⟨φ⟩=-0.002, ⟨φ_{1,max}⟩=0.519 (48.7 s)
  T=0.7360: ⟨φ⟩=-0.002, ⟨φ_{1,max}⟩=0.523 (44.1 s)
  T=0.8153: ⟨φ⟩=0.002, ⟨φ_{1,max}⟩=0.526 (41.0 s)
  T=0.9031: ⟨φ⟩=0.001, ⟨φ_{1,max}⟩=0.526 (49.4 s)
  T=1.0000: ⟨φ⟩=0.000, ⟨φ_{1,max}⟩=0.522 (53.3 s)

Saved: fss_LSE_alpha0.2.csv
