# N=50  K_max=10000  betanet=1.0000  generated=2026-06-05T13:37:54.565
alpha,T,disorder,phi,mode,logC
0.300,0.37500,12,0.815613,smart,-22.1195
0.300,0.40000,12,0.473296,smart,-22.1195
0.300,0.42500,12,0.355151,smart,-22.1195
0.300,0.45000,12,0.307343,smart,-22.1195
0.300,0.47500,12,0.298712,smart,-22.1195
0.300,0.50000,12,0.334022,smart,-22.1195
0.300,0.02500,13,0.985796,smart,-22.1216
0.300,0.05000,13,0.977485,smart,-22.1216
0.300,0.07500,13,0.966135,smart,-22.1216
0.300,0.10000,13,0.955557,smart,-22.1216
0.300,0.12500,13,0.941293,smart,-22.1216
0.300,0.15000,13,0.931293,smart,-22.1216
0.300,0.17500,13,0.919205,smart,-22.1216
0.300,0.20000,13,0.900628,smart,-22.1216
0.300,0.22500,13,0.894642,smart,-22.1216
0.300,0.25000,13,0.887969,smart,-22.1216
0.300,0.27500,13,0.870626,smart,-22.1216
0.300,0.30000,13,0.857584,smart,-22.1216
0.300,0.32500,13,0.484904,smart,-22.1216
0.300,0.35000,13,0.849105,smart,-22.1216
0.300,0.37500,13,0.512808,smart,-22.1216
0.300,0.40000,13,0.501940,smart,-22.1216
0.300,0.42500,13,0.335214,smart,-22.1216
0.300,0.45000,13,0.317817,smart,-22.1216
0.300,0.47500,13,0.293809,smart,-22.1216
0.300,0.50000,13,0.298310,smart,-22.1216
0.300,0.02500,14,0.986874,smart,-22.1282
0.300,0.05000,14,0.977453,smart,-22.1282
0.300,0.07500,14,0.967954,smart,-22.1282
0.300,0.10000,14,0.952978,smart,-22.1282
0.300,0.12500,14,0.942116,smart,-22.1282
0.300,0.15000,14,0.925793,smart,-22.1282
0.300,0.17500,14,0.917494,smart,-22.1282
0.300,0.20000,14,0.911361,smart,-22.1282
0.300,0.22500,14,0.900263,smart,-22.1282
0.300,0.25000,14,0.874786,smart,-22.1282
0.300,0.27500,14,0.871804,smart,-22.1282
0.300,0.30000,14,0.864775,smart,-22.1282
0.300,0.32500,14,0.839602,smart,-22.1282
0.300,0.35000,14,0.834785,smart,-22.1282
0.300,0.37500,14,0.370959,smart,-22.1282
0.300,0.40000,14,0.333443,smart,-22.1282
0.300,0.42500,14,0.361019,smart,-22.1282
0.300,0.45000,14,0.372413,smart,-22.1282
0.300,0.47500,14,0.311250,smart,-22.1282
0.300,0.50000,14,0.363361,smart,-22.1282
0.300,0.02500,15,0.989414,smart,-22.1175
0.300,0.05000,15,0.975164,smart,-22.1175
0.300,0.07500,15,0.965861,smart,-22.1175
0.300,0.10000,15,0.949720,smart,-22.1175
0.300,0.12500,15,0.944043,smart,-22.1175
0.300,0.15000,15,0.927995,smart,-22.1175
0.300,0.17500,15,0.914242,smart,-22.1175
0.300,0.20000,15,0.911223,smart,-22.1175
0.300,0.22500,15,0.902499,smart,-22.1175
0.300,0.25000,15,0.880937,smart,-22.1175
0.300,0.27500,15,0.879762,smart,-22.1175
0.300,0.30000,15,0.869394,smart,-22.1175
0.300,0.32500,15,0.382670,smart,-22.1175
0.300,0.35000,15,0.849385,smart,-22.1175
0.300,0.37500,15,0.828698,smart,-22.1175
0.300,0.40000,15,0.359569,smart,-22.1175
0.300,0.42500,15,0.437683,smart,-22.1175
0.300,0.45000,15,0.414609,smart,-22.1175
0.300,0.47500,15,0.283458,smart,-22.1175
0.300,0.50000,15,0.325409,smart,-22.1175
0.300,0.02500,16,0.987874,smart,-22.1279
0.300,0.05000,16,0.975535,smart,-22.1279
0.300,0.07500,16,0.963578,smart,-22.1279
0.300,0.10000,16,0.954253,smart,-22.1279
0.300,0.12500,16,0.942147,smart,-22.1279
0.300,0.15000,16,0.930442,smart,-22.1279
0.300,0.17500,16,0.914940,smart,-22.1279
0.300,0.20000,16,0.909963,smart,-22.1279
0.300,0.22500,16,0.895011,smart,-22.1279
0.300,0.25000,16,0.884150,smart,-22.1279
0.300,0.27500,16,0.869563,smart,-22.1279
0.300,0.30000,16,0.871110,smart,-22.1279
0.300,0.32500,16,0.846499,smart,-22.1279
0.300,0.35000,16,0.840325,smart,-22.1279
0.300,0.37500,16,0.383172,smart,-22.1279
0.300,0.40000,16,0.375023,smart,-22.1279
0.300,0.42500,16,0.315617,smart,-22.1279
0.300,0.45000,16,0.317122,smart,-22.1279
0.300,0.47500,16,0.330775,smart,-22.1279
0.300,0.50000,16,0.321615,smart,-22.1279
0.350,0.02500,1,0.986401,smart,-17.0620
0.350,0.05000,1,0.975565,smart,-17.0620
0.350,0.07500,1,0.964827,smart,-17.0620
0.350,0.10000,1,0.950851,smart,-17.0620
0.350,0.12500,1,0.939042,smart,-17.0620
0.350,0.15000,1,0.933733,smart,-17.0620
0.350,0.17500,1,0.918922,smart,-17.0620
0.350,0.20000,1,0.900233,smart,-17.0620
0.350,0.22500,1,0.893687,smart,-17.0620
0.350,0.25000,1,0.878060,smart,-17.0620
0.350,0.27500,1,0.864659,smart,-17.0620
0.350,0.30000,1,0.858323,smart,-17.0620
0.350,0.32500,1,0.844474,smart,-17.0620
0.350,0.35000,1,0.473240,smart,-17.0620
0.350,0.37500,1,0.489522,smart,-17.0620
0.350,0.40000,1,0.042989,smart,-17.0620
0.350,0.42500,1,0.407045,smart,-17.0620
0.350,0.45000,1,0.200999,smart,-17.0620
0.350,0.47500,1,-0.029618,smart,-17.0620
0.350,0.50000,1,0.160168,smart,-17.0620
0.350,0.02500,2,0.989453,smart,-17.0628
0.350,0.05000,2,0.975977,smart,-17.0628
0.350,0.07500,2,0.964134,smart,-17.0628
0.350,0.10000,2,0.950956,smart,-17.0628
0.350,0.12500,2,0.931010,smart,-17.0628
0.350,0.15000,2,0.935015,smart,-17.0628
0.350,0.17500,2,0.916229,smart,-17.0628
0.350,0.20000,2,0.912407,smart,-17.0628
0.350,0.22500,2,0.897429,smart,-17.0628
0.350,0.25000,2,0.892125,smart,-17.0628
0.350,0.27500,2,0.878054,smart,-17.0628
0.350,0.30000,2,0.864603,smart,-17.0628
0.350,0.32500,2,0.857612,smart,-17.0628
0.350,0.35000,2,0.476916,smart,-17.0628
0.350,0.37500,2,0.419552,smart,-17.0628
0.350,0.40000,2,0.419892,smart,-17.0628
0.350,0.42500,2,0.462611,smart,-17.0628
0.350,0.45000,2,-0.012357,smart,-17.0628
0.350,0.47500,2,0.216422,smart,-17.0628
0.350,0.50000,2,0.145663,smart,-17.0628
0.350,0.02500,3,0.987616,smart,-17.0569
0.350,0.05000,3,0.974999,smart,-17.0569
0.350,0.07500,3,0.962931,smart,-17.0569
0.350,0.10000,3,0.953179,smart,-17.0569
0.350,0.12500,3,0.941838,smart,-17.0569
0.350,0.15000,3,0.931115,smart,-17.0569
0.350,0.17500,3,0.922792,smart,-17.0569
0.350,0.20000,3,0.914610,smart,-17.0569
0.350,0.22500,3,0.894214,smart,-17.0569
0.350,0.25000,3,0.890707,smart,-17.0569
0.350,0.27500,3,0.879252,smart,-17.0569
0.350,0.30000,3,0.857754,smart,-17.0569
0.350,0.32500,3,0.396176,smart,-17.0569
0.350,0.35000,3,0.442232,smart,-17.0569
0.350,0.37500,3,0.415659,smart,-17.0569
0.350,0.40000,3,0.425211,smart,-17.0569
0.350,0.42500,3,0.404596,smart,-17.0569
0.350,0.45000,3,0.285520,smart,-17.0569
0.350,0.47500,3,0.437794,smart,-17.0569
0.350,0.50000,3,0.023274,smart,-17.0569
0.350,0.02500,4,0.987536,smart,-17.0581
0.350,0.05000,4,0.977167,smart,-17.0581
0.350,0.07500,4,0.960577,smart,-17.0581
0.350,0.10000,4,0.951449,smart,-17.0581
0.350,0.12500,4,0.940155,smart,-17.0581
0.350,0.15000,4,0.931319,smart,-17.0581
0.350,0.17500,4,0.913015,smart,-17.0581
0.350,0.20000,4,0.898479,smart,-17.0581
0.350,0.22500,4,0.897537,smart,-17.0581
0.350,0.25000,4,0.887519,smart,-17.0581
0.350,0.27500,4,0.867607,smart,-17.0581
0.350,0.30000,4,0.866644,smart,-17.0581
0.350,0.32500,4,0.474364,smart,-17.0581
0.350,0.35000,4,0.844410,smart,-17.0581
0.350,0.37500,4,0.375817,smart,-17.0581
0.350,0.40000,4,0.403988,smart,-17.0581
0.350,0.42500,4,-0.034698,smart,-17.0581
0.350,0.45000,4,0.083168,smart,-17.0581
0.350,0.47500,4,0.123615,smart,-17.0581
0.350,0.50000,4,-0.051449,smart,-17.0581
0.350,0.02500,5,0.988200,smart,-17.0537
0.350,0.05000,5,0.977811,smart,-17.0537
0.350,0.07500,5,0.960340,smart,-17.0537
0.350,0.10000,5,0.953637,smart,-17.0537
0.350,0.12500,5,0.940033,smart,-17.0537
0.350,0.15000,5,0.928937,smart,-17.0537
0.350,0.17500,5,0.921559,smart,-17.0537
0.350,0.20000,5,0.906259,smart,-17.0537
0.350,0.22500,5,0.892994,smart,-17.0537
0.350,0.25000,5,0.890531,smart,-17.0537
0.350,0.27500,5,0.875823,smart,-17.0537
0.350,0.30000,5,0.855429,smart,-17.0537
0.350,0.32500,5,0.514874,smart,-17.0537
0.350,0.35000,5,0.438530,smart,-17.0537
0.350,0.37500,5,0.412070,smart,-17.0537
0.350,0.40000,5,0.066691,smart,-17.0537
0.350,0.42500,5,0.416719,smart,-17.0537
0.350,0.45000,5,0.219171,smart,-17.0537
0.350,0.47500,5,-0.016216,smart,-17.0537
0.350,0.50000,5,-0.033286,smart,-17.0537
0.350,0.02500,6,0.988913,smart,-17.0586
0.350,0.05000,6,0.974697,smart,-17.0586
0.350,0.07500,6,0.964521,smart,-17.0586
0.350,0.10000,6,0.952414,smart,-17.0586
0.350,0.12500,6,0.938072,smart,-17.0586
0.350,0.15000,6,0.923535,smart,-17.0586
0.350,0.17500,6,0.914239,smart,-17.0586
0.350,0.20000,6,0.912602,smart,-17.0586
0.350,0.22500,6,0.893863,smart,-17.0586
0.350,0.25000,6,0.882857,smart,-17.0586
0.350,0.27500,6,0.866278,smart,-17.0586
0.350,0.30000,6,0.858892,smart,-17.0586
0.350,0.32500,6,0.846284,smart,-17.0586
0.350,0.35000,6,0.421774,smart,-17.0586
0.350,0.37500,6,0.431068,smart,-17.0586
0.350,0.40000,6,0.458829,smart,-17.0586
0.350,0.42500,6,0.397177,smart,-17.0586
0.350,0.45000,6,0.006818,smart,-17.0586
0.350,0.47500,6,-0.005738,smart,-17.0586
0.350,0.50000,6,0.151092,smart,-17.0586
0.350,0.02500,7,0.987339,smart,-17.0564
0.350,0.05000,7,0.975784,smart,-17.0564
0.350,0.07500,7,0.967440,smart,-17.0564
0.350,0.10000,7,0.954025,smart,-17.0564
0.350,0.12500,7,0.939454,smart,-17.0564
0.350,0.15000,7,0.926635,smart,-17.0564
0.350,0.17500,7,0.924976,smart,-17.0564
0.350,0.20000,7,0.906156,smart,-17.0564
0.350,0.22500,7,0.895249,smart,-17.0564
0.350,0.25000,7,0.872155,smart,-17.0564
0.350,0.27500,7,0.875923,smart,-17.0564
0.350,0.30000,7,0.865550,smart,-17.0564
0.350,0.32500,7,0.845387,smart,-17.0564
0.350,0.35000,7,0.401368,smart,-17.0564
0.350,0.37500,7,0.422938,smart,-17.0564
0.350,0.40000,7,0.292583,smart,-17.0564
0.350,0.42500,7,0.401844,smart,-17.0564
0.350,0.45000,7,0.394717,smart,-17.0564
