alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.11,0.9988,0.9988,0.9875,0.4754,0.0167,0.0104,0.0077,0.0062,0.0048,0.0037,0.0033,0.0027,0.0023,0.0018,0.0015,0.0013,0.0011,0.0008,0.0007,0.0007,0.0006,0.0006,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0004,0.0004,0.0003,0.0003,0.0004,0.0003,0.0003,0.0004,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004
0.12,0.9988,0.9988,0.9845,0.3490,0.0073,0.0039,0.0027,0.0021,0.0022,0.0020,0.0019,0.0019,0.0020,0.0020,0.0019,0.0017,0.0016,0.0015,0.0013,0.0011,0.0010,0.0011,0.0009,0.0009,0.0008,0.0006,0.0005,0.0005,0.0006,0.0004,0.0005,0.0005,0.0006,0.0006,0.0005,0.0005,0.0005,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
0.13,0.9988,0.9988,0.9845,0.3643,0.0107,0.0037,0.0018,0.0010,0.0008,0.0006,0.0005,0.0004,0.0003,0.0002,0.0003,0.0002,0.0003,0.0003,0.0002,0.0004,0.0004,0.0005,0.0006,0.0006,0.0007,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001
0.14,0.9988,0.9988,0.9618,0.2353,0.0056,0.0012,0.0012,0.0015,0.0018,0.0017,0.0015,0.0014,0.0011,0.0010,0.0008,0.0006,0.0004,0.0004,0.0004,0.0004,0.0004,0.0006,0.0006,0.0005,0.0006,0.0005,0.0004,0.0004,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
0.15,0.9988,0.9988,0.9662,0.2061,0.0093,0.0046,0.0024,0.0015,0.0009,0.0008,0.0007,0.0008,0.0008,0.0010,0.0008,0.0009,0.0010,0.0009,0.0009,0.0008,0.0007,0.0008,0.0008,0.0007,0.0007,0.0006,0.0005,0.0004,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001
0.16,0.9988,0.9988,0.9144,0.0854,-0.0019,-0.0017,-0.0010,-0.0007,-0.0004,-0.0002,-0.0002,0.0002,0.0003,0.0004,0.0006,0.0007,0.0009,0.0008,0.0008,0.0007,0.0007,0.0008,0.0007,0.0007,0.0007,0.0007,0.0005,0.0005,0.0005,0.0005,0.0004,0.0006,0.0005,0.0006,0.0006,0.0006,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002
0.17,0.9988,0.9988,0.8939,0.0494,0.0006,-0.0012,-0.0009,-0.0004,-0.0001,-0.0003,-0.0003,-0.0002,-0.0001,-0.0000,0.0001,-0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0004,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001,-0.0000,-0.0000,-0.0001,-0.0000,-0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000
0.18,0.9988,0.9987,0.8398,0.0257,0.0017,0.0005,0.0006,0.0009,0.0008,0.0009,0.0009,0.0011,0.0011,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0011,0.0010,0.0010,0.0010,0.0010,0.0011,0.0010,0.0010,0.0009,0.0010,0.0010,0.0010,0.0009,0.0009,0.0007,0.0007,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0003,0.0002,0.0003,0.0002
0.19,0.9989,0.9987,0.7820,0.0140,0.0034,0.0034,0.0037,0.0033,0.0026,0.0019,0.0013,0.0013,0.0013,0.0009,0.0010,0.0008,0.0010,0.0010,0.0009,0.0010,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0004,0.0003,0.0003,0.0002,0.0003,0.0002,0.0003
0.20,0.9988,0.9986,0.7331,0.0273,0.0021,0.0008,0.0006,0.0008,0.0008,0.0007,0.0006,0.0005,0.0003,0.0003,0.0004,0.0005,0.0004,0.0005,0.0004,0.0005,0.0004,0.0005,0.0005,0.0007,0.0006,0.0005,0.0006,0.0007,0.0006,0.0005,0.0004,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0003,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002
