# generator=escape_time_hybrid.jl  N=100  N_DIS=32  MAX_STEPS=100000  φ_escape=0.5  generated=2026-06-11T11:24:46.763
alpha,T,disorder,K,tau,escaped
0.620,0.01750,6,1,53,1
0.620,0.01750,7,1,76,1
0.620,0.01750,8,1,49,1
0.620,0.01750,9,1,61,1
0.620,0.01750,10,1,39,1
0.580,0.01250,24,1,100000,0
0.620,0.01750,11,1,54,1
0.620,0.01750,12,1,54,1
0.620,0.01750,13,1,76,1
0.620,0.01750,14,1,52,1
0.620,0.01750,15,1,67,1
0.620,0.01750,16,1,79,1
0.620,0.01750,17,1,56,1
0.620,0.01750,18,1,38,1
0.620,0.01750,19,1,50,1
0.620,0.01750,20,1,47,1
0.620,0.01750,21,1,65,1
0.620,0.01750,22,1,52,1
0.620,0.01750,23,1,55,1
0.620,0.01750,24,1,30,1
0.620,0.01750,25,1,48,1
0.620,0.01750,26,1,50,1
0.620,0.01750,27,1,51,1
0.620,0.01750,28,1,49,1
0.620,0.01750,29,1,45,1
0.620,0.01750,30,1,72,1
0.620,0.01750,31,1,52,1
0.620,0.01750,32,1,44,1
0.620,0.02000,1,1,61,1
0.620,0.02000,2,1,45,1
0.550,0.03500,23,1,100000,0
0.620,0.02000,3,1,21,1
0.620,0.02000,4,1,37,1
0.620,0.02000,5,1,47,1
0.620,0.02000,6,1,63,1
0.620,0.02000,7,1,71,1
0.620,0.02000,8,1,52,1
0.620,0.02000,9,1,46,1
0.620,0.02000,10,1,60,1
0.620,0.02000,11,1,46,1
0.620,0.02000,12,1,65,1
0.620,0.02000,13,1,38,1
0.500,0.06250,23,1,100000,0
0.620,0.02000,14,1,49,1
0.620,0.02000,15,1,53,1
0.620,0.02000,16,1,42,1
0.620,0.02000,17,1,43,1
0.620,0.02000,18,1,38,1
0.620,0.02000,19,1,45,1
0.620,0.02000,20,1,52,1
0.620,0.02000,21,1,30,1
0.620,0.02000,22,1,69,1
0.620,0.02000,23,1,49,1
0.620,0.02000,24,1,52,1
0.620,0.02000,25,1,65,1
0.620,0.02000,26,1,40,1
0.620,0.02000,27,1,45,1
0.620,0.02000,28,1,35,1
0.620,0.02000,29,1,51,1
0.620,0.02000,30,1,50,1
0.620,0.02000,31,1,44,1
0.620,0.02000,32,1,46,1
0.600,0.01250,31,1,100000,0
0.500,0.08500,24,1,100000,0
0.580,0.01250,25,1,100000,0
0.600,0.00500,1,1,100000,0
0.550,0.03500,24,1,100000,0
0.500,0.06250,24,1,100000,0
0.600,0.01250,32,1,100000,0
0.600,0.01500,1,1,680,1
0.600,0.01500,2,1,1424,1
0.600,0.01500,3,1,209,1
0.600,0.01500,4,1,752,1
0.600,0.01500,5,1,1740,1
0.600,0.01500,6,1,575,1
0.600,0.01500,7,1,286,1
0.600,0.01500,8,1,360,1
0.600,0.01500,9,1,387,1
0.600,0.01500,10,1,257,1
0.600,0.01500,11,1,382,1
0.600,0.01500,12,1,544,1
0.600,0.01500,13,1,659,1
0.600,0.01500,14,1,311,1
0.600,0.01500,15,1,70,1
0.600,0.01500,16,1,375,1
0.600,0.01500,17,1,1040,1
0.600,0.01500,18,1,138,1
0.600,0.01500,19,1,512,1
0.600,0.01500,20,1,692,1
0.600,0.01500,21,1,1689,1
0.600,0.01500,22,1,221,1
0.600,0.01500,23,1,2048,1
0.600,0.01500,24,1,1627,1
0.500,0.08500,25,1,100000,0
0.600,0.01500,25,1,995,1
0.600,0.01500,26,1,1753,1
0.600,0.01500,27,1,133,1
0.600,0.01500,28,1,5104,1
0.600,0.01500,29,1,655,1
0.600,0.01500,30,1,934,1
0.600,0.01500,31,1,2808,1
0.600,0.01500,32,1,1105,1
0.600,0.01750,1,1,56,1
0.600,0.01750,2,1,68,1
0.600,0.01750,3,1,79,1
0.600,0.01750,4,1,50,1
0.600,0.01750,5,1,68,1
0.600,0.01750,6,1,139,1
0.600,0.01750,7,1,61,1
0.600,0.01750,8,1,64,1
0.600,0.01750,9,1,62,1
0.580,0.01250,26,1,100000,0
0.600,0.00500,2,1,100000,0
0.600,0.01750,10,1,61,1
0.600,0.01750,11,1,83,1
0.600,0.01750,12,1,60,1
0.600,0.01750,13,1,44,1
0.600,0.01750,14,1,72,1
0.600,0.01750,15,1,40,1
0.600,0.01750,16,1,55,1
0.600,0.01750,17,1,38,1
0.600,0.01750,18,1,59,1
0.600,0.01750,19,1,89,1
0.600,0.01750,20,1,109,1
0.600,0.01750,21,1,67,1
0.600,0.01750,22,1,139,1
0.600,0.01750,23,1,68,1
0.550,0.03500,25,1,100000,0
0.600,0.01750,24,1,69,1
0.500,0.06250,25,1,100000,0
0.600,0.01750,25,1,200,1
0.600,0.01750,26,1,69,1
0.600,0.01750,27,1,85,1
0.600,0.01750,28,1,124,1
0.600,0.01750,29,1,52,1
0.600,0.01750,30,1,45,1
0.600,0.01750,31,1,95,1
0.600,0.01750,32,1,47,1
0.600,0.02000,1,1,30,1
0.600,0.02000,2,1,60,1
0.600,0.02000,3,1,60,1
0.600,0.02000,4,1,38,1
0.600,0.02000,5,1,48,1
0.600,0.02000,6,1,43,1
0.600,0.02000,7,1,64,1
0.600,0.02000,8,1,47,1
0.600,0.02000,9,1,75,1
0.600,0.02000,10,1,50,1
0.600,0.02000,11,1,42,1
0.600,0.02000,12,1,48,1
0.600,0.02000,13,1,62,1
0.600,0.02000,14,1,58,1
0.600,0.02000,15,1,53,1
0.600,0.02000,16,1,63,1
0.600,0.02000,17,1,41,1
0.600,0.02000,18,1,76,1
0.600,0.02000,19,1,34,1
0.600,0.02000,20,1,67,1
0.600,0.02000,21,1,38,1
0.600,0.02000,22,1,60,1
0.600,0.02000,23,1,44,1
0.600,0.02000,24,1,34,1
0.600,0.02000,25,1,54,1
0.600,0.02000,26,1,68,1
0.600,0.02000,27,1,47,1
0.600,0.02000,28,1,45,1
0.600,0.02000,29,1,40,1
0.600,0.02000,30,1,42,1
0.600,0.02000,31,1,81,1
0.600,0.02000,32,1,50,1
0.600,0.02250,1,1,30,1
0.600,0.02250,2,1,35,1
0.600,0.02250,3,1,47,1
0.600,0.02250,4,1,46,1
0.600,0.02250,5,1,51,1
0.600,0.02250,6,1,54,1
0.600,0.02250,7,1,50,1
0.600,0.02250,8,1,42,1
0.600,0.02250,9,1,55,1
0.600,0.02250,10,1,60,1
0.600,0.02250,11,1,45,1
0.600,0.02250,12,1,28,1
0.600,0.02250,13,1,38,1
0.600,0.02250,14,1,51,1
0.600,0.02250,15,1,62,1
0.600,0.02250,16,1,44,1
0.600,0.02250,17,1,36,1
0.600,0.02250,18,1,37,1
0.600,0.02250,19,1,43,1
0.600,0.02250,20,1,48,1
0.600,0.02250,21,1,54,1
0.600,0.02250,22,1,34,1
0.600,0.02250,23,1,46,1
0.600,0.02250,24,1,43,1
0.600,0.02250,25,1,43,1
0.600,0.02250,26,1,37,1
0.600,0.02250,27,1,62,1
0.600,0.02250,28,1,71,1
0.600,0.02250,29,1,58,1
0.500,0.08500,26,1,100000,0
0.600,0.02250,30,1,45,1
0.600,0.02250,31,1,50,1
0.600,0.02250,32,1,36,1
0.600,0.02500,1,1,46,1
0.600,0.02500,2,1,34,1
0.600,0.02500,3,1,48,1
0.600,0.02500,4,1,45,1
