# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+07  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T13:48:36.518
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.03500,88,30281,41,0.983690,0.981450,0.967476,0.533890
0.200,0.03500,88,30216,42,0.981384,0.982743,0.964008,0.546458
0.200,0.03500,88,29889,43,0.982180,0.983095,0.965773,0.535931
0.200,0.03500,88,29966,44,0.982660,0.984078,0.965092,0.531036
0.200,0.03500,88,29917,45,0.982794,0.982940,0.966023,0.542329
0.200,0.03500,88,29962,46,0.982033,0.985040,0.965989,0.540569
0.200,0.03500,88,30001,47,0.982472,0.982683,0.963086,0.571543
0.200,0.03500,88,30312,48,0.983334,0.984368,0.969762,0.552439
0.200,0.03500,88,29891,49,0.983484,0.984237,0.969251,0.536564
0.200,0.03500,88,30061,50,0.983882,0.982551,0.966287,0.543100
0.200,0.03500,88,30249,51,0.983905,0.982642,0.965037,0.523911
0.200,0.03500,88,29895,52,0.982811,0.982719,0.965250,0.527905
0.200,0.03500,88,29819,53,0.981819,0.983364,0.964584,0.561157
0.200,0.03500,88,29965,54,0.981702,0.983868,0.966517,0.571904
0.200,0.03500,88,30049,55,0.983352,0.982303,0.966616,0.538719
0.200,0.03500,88,29833,56,0.982633,0.982373,0.964802,0.557267
0.200,0.03500,88,29954,57,0.983114,0.980901,0.961941,0.573564
0.200,0.03500,88,29958,58,0.983216,0.982175,0.965191,0.538439
0.200,0.03500,88,30266,59,0.984180,0.982287,0.965878,0.537859
0.200,0.03500,88,30202,60,0.981297,0.983284,0.964401,0.561967
0.200,0.03500,88,30342,61,0.983486,0.983558,0.968799,0.586381
0.200,0.03500,88,29949,62,0.981864,0.983445,0.965979,0.544453
0.200,0.03500,88,29897,63,0.984061,0.984522,0.968787,0.567233
0.200,0.03500,88,30343,64,0.983040,0.981347,0.964832,0.527391
0.200,0.04500,88,29889,1,0.978030,0.978171,0.959123,0.555134
0.200,0.04500,88,30497,2,0.978967,0.979578,0.958868,0.538731
0.200,0.04500,88,29913,3,0.978362,0.979115,0.958921,0.550292
0.200,0.04500,88,29942,4,0.979352,0.979274,0.958963,0.547982
0.200,0.04500,88,30080,5,0.977827,0.977960,0.956203,0.554479
0.200,0.04500,88,29964,6,0.977245,0.975429,0.951593,0.551217
0.200,0.04500,88,30284,7,0.977996,0.977457,0.954469,0.541801
0.200,0.04500,88,29802,8,0.978949,0.977137,0.955830,0.543602
0.200,0.04500,88,29978,9,0.977057,0.977909,0.956601,0.540636
0.200,0.04500,88,29878,10,0.977050,0.978507,0.955959,0.524765
0.200,0.04500,88,29997,11,0.978516,0.980445,0.957876,0.534264
0.200,0.04500,88,29737,12,0.976957,0.978765,0.955508,0.543932
0.200,0.04500,88,29706,13,0.977434,0.977591,0.956042,0.543062
0.200,0.04500,88,29868,14,0.978398,0.977015,0.955925,0.543222
0.200,0.04500,88,29748,15,0.980578,0.978761,0.963346,0.543603
