# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-09T01:31:47.173
alpha,N,T,disorder,init,phi
0.200,1000,0.3000,4,cold,0.862272
0.200,1000,0.3000,5,cold,0.864950
0.200,1000,0.3000,6,cold,0.862744
0.200,1000,0.3000,7,cold,0.858088
0.200,1000,0.3000,8,cold,0.858194
0.200,1000,0.3200,1,cold,0.860975
0.200,1000,0.3200,2,cold,0.858476
0.200,1000,0.3200,3,cold,0.851486
0.200,1000,0.3200,4,cold,0.850996
0.200,1000,0.3200,5,cold,0.851245
0.200,1000,0.3200,6,cold,0.861187
0.200,1000,0.3200,7,cold,0.854675
0.200,1000,0.3200,8,cold,0.850269
0.200,1000,0.3400,1,cold,0.847550
0.200,1000,0.3400,2,cold,0.840560
0.200,1000,0.3400,3,cold,0.851746
0.200,1000,0.3400,4,cold,0.841216
0.200,1000,0.3400,5,cold,0.848838
0.200,1000,0.3400,6,cold,0.839174
0.200,1000,0.3400,7,cold,0.849326
0.200,1000,0.3400,8,cold,0.843686
0.200,1000,0.3600,1,cold,0.839551
0.200,1000,0.3600,2,cold,0.835193
0.200,1000,0.3600,3,cold,0.826747
0.200,1000,0.3600,4,cold,0.833921
0.200,1000,0.3600,5,cold,0.843320
0.200,1000,0.3600,6,cold,0.844367
0.200,1000,0.3600,7,cold,0.837042
0.200,1000,0.3600,8,cold,0.847347
0.200,1000,0.3800,1,cold,0.834797
0.200,1000,0.3800,2,cold,0.839557
0.200,1000,0.3800,3,cold,0.826987
0.200,1000,0.3800,4,cold,0.836051
0.200,1000,0.3800,5,cold,0.823363
0.200,1000,0.3800,6,cold,0.837825
0.200,1000,0.3800,7,cold,0.825693
0.200,1000,0.3800,8,cold,0.832040
0.200,1000,0.4000,1,cold,0.827000
0.200,1000,0.4000,2,cold,0.833482
0.200,1000,0.4000,3,cold,0.830599
0.200,1000,0.4000,4,cold,0.820017
0.200,1000,0.4000,5,cold,0.816378
0.200,1000,0.4000,6,cold,0.815214
0.200,1000,0.4000,7,cold,0.809951
0.200,1000,0.4000,8,cold,0.814204
0.200,1000,0.4200,1,cold,0.813803
0.200,1000,0.4200,2,cold,0.806248
0.200,1000,0.4200,3,cold,0.800698
0.200,1000,0.4200,4,cold,0.804619
0.200,1000,0.4200,5,cold,0.824011
0.200,1000,0.4200,6,cold,0.816767
0.200,1000,0.4200,7,cold,0.815075
0.200,1000,0.4200,8,cold,0.815866
0.200,1000,0.4400,1,cold,0.796879
0.200,1000,0.4400,2,cold,0.804007
0.200,1000,0.4400,3,cold,0.802262
0.200,1000,0.4400,4,cold,0.804712
0.200,1000,0.4400,5,cold,0.794077
0.200,1000,0.4400,6,cold,0.804491
0.200,1000,0.4400,7,cold,0.802902
0.200,1000,0.4400,8,cold,0.806416
0.200,1000,0.4600,1,cold,0.788008
0.200,1000,0.4600,2,cold,0.792172
0.200,1000,0.4600,3,cold,0.790094
0.200,1000,0.4600,4,cold,0.802224
0.200,1000,0.4600,5,cold,0.803936
0.200,1000,0.4600,6,cold,0.792264
0.200,1000,0.4600,7,cold,0.802312
0.200,1000,0.4600,8,cold,0.803021
0.200,1000,0.4800,1,cold,0.799205
0.200,1000,0.4800,2,cold,0.782439
0.200,1000,0.4800,3,cold,0.791383
0.200,1000,0.4800,4,cold,0.773429
0.200,1000,0.4800,5,cold,0.789914
0.200,1000,0.4800,6,cold,0.789267
0.200,1000,0.4800,7,cold,0.791043
0.200,1000,0.4800,8,cold,0.782169
0.200,1000,0.5000,1,cold,0.779117
0.200,1000,0.5000,2,cold,0.777136
0.200,1000,0.5000,3,cold,0.772867
0.200,1000,0.5000,4,cold,0.779300
0.200,1000,0.5000,5,cold,0.777538
0.200,1000,0.5000,6,cold,0.783781
0.200,1000,0.5000,7,cold,0.773337
0.200,1000,0.5000,8,cold,0.783296
0.250,50,0.1000,1,cold,0.949218
0.250,50,0.1000,2,cold,0.956069
0.250,50,0.1000,3,cold,0.952379
0.250,50,0.1000,4,cold,0.952316
0.250,50,0.1000,5,cold,0.956775
0.250,50,0.1000,6,cold,0.948408
0.250,50,0.1000,7,cold,0.952500
0.250,50,0.1000,8,cold,0.954346
0.250,50,0.1200,1,cold,0.936736
0.250,50,0.1200,2,cold,0.942255
0.250,50,0.1200,3,cold,0.939860
0.250,50,0.1200,4,cold,0.934395
0.250,50,0.1200,5,cold,0.947473
0.250,50,0.1200,6,cold,0.946817
0.250,50,0.1200,7,cold,0.936238
0.250,50,0.1200,8,cold,0.946341
0.250,50,0.1400,1,cold,0.927886
0.250,50,0.1400,2,cold,0.936801
0.250,50,0.1400,3,cold,0.932081
0.250,50,0.1400,4,cold,0.930426
0.250,50,0.1400,5,cold,0.929045
0.250,50,0.1400,6,cold,0.936024
0.250,50,0.1400,7,cold,0.934330
0.250,50,0.1400,8,cold,0.937228
0.250,50,0.1600,1,cold,0.914808
0.250,50,0.1600,2,cold,0.918852
0.250,50,0.1600,3,cold,0.921802
0.250,50,0.1600,4,cold,0.924180
0.250,50,0.1600,5,cold,0.929728
0.250,50,0.1600,6,cold,0.921000
0.250,50,0.1600,7,cold,0.927144
0.250,50,0.1600,8,cold,0.928584
0.250,50,0.1800,1,cold,0.919840
0.250,50,0.1800,2,cold,0.923747
0.250,50,0.1800,3,cold,0.915287
0.250,50,0.1800,4,cold,0.920356
0.250,50,0.1800,5,cold,0.915891
0.250,50,0.1800,6,cold,0.920875
0.250,50,0.1800,7,cold,0.916097
0.250,50,0.1800,8,cold,0.912497
0.250,50,0.2000,1,cold,0.911108
0.250,50,0.2000,2,cold,0.906275
0.250,50,0.2000,3,cold,0.905062
0.250,50,0.2000,4,cold,0.904972
0.250,50,0.2000,5,cold,0.903989
0.250,50,0.2000,6,cold,0.911945
0.250,50,0.2000,7,cold,0.900033
0.250,50,0.2000,8,cold,0.904374
0.250,50,0.2200,1,cold,0.899379
0.250,50,0.2200,2,cold,0.896780
0.250,50,0.2200,3,cold,0.884950
0.250,50,0.2200,4,cold,0.906963
0.250,50,0.2200,5,cold,0.905763
0.250,50,0.2200,6,cold,0.895299
0.250,50,0.2200,7,cold,0.899920
0.250,50,0.2200,8,cold,0.903869
0.250,50,0.2400,1,cold,0.887333
0.250,50,0.2400,2,cold,0.891800
0.250,50,0.2400,3,cold,0.882814
0.250,50,0.2400,4,cold,0.887723
0.250,50,0.2400,5,cold,0.880684
0.250,50,0.2400,6,cold,0.889812
0.250,50,0.2400,7,cold,0.895589
0.250,50,0.2400,8,cold,0.886669
0.250,50,0.2600,1,cold,0.876410
0.250,50,0.2600,2,cold,0.869728
0.250,50,0.2600,3,cold,0.881962
0.250,50,0.2600,4,cold,0.889468
0.250,50,0.2600,5,cold,0.879959
0.250,50,0.2600,6,cold,0.884317
0.250,50,0.2600,7,cold,0.886617
0.250,50,0.2600,8,cold,0.873933
0.250,50,0.2800,1,cold,0.877542
0.250,50,0.2800,2,cold,0.878889
0.250,50,0.2800,3,cold,0.874744
0.250,50,0.2800,4,cold,0.869197
0.250,50,0.2800,5,cold,0.881387
0.250,50,0.2800,6,cold,0.873196
0.250,50,0.2800,7,cold,0.861092
0.250,50,0.2800,8,cold,0.872909
0.250,50,0.3000,1,cold,0.864028
0.250,50,0.3000,2,cold,0.852048
0.250,50,0.3000,3,cold,0.861816
0.250,50,0.3000,4,cold,0.854102
0.250,50,0.3000,5,cold,0.884781
0.250,50,0.3000,6,cold,0.864885
0.250,50,0.3000,7,cold,0.863251
0.250,50,0.3000,8,cold,0.865956
0.250,50,0.3200,1,cold,0.854387
0.250,50,0.3200,2,cold,0.855118
0.250,50,0.3200,3,cold,0.855079
0.250,50,0.3200,4,cold,0.850394
0.250,50,0.3200,5,cold,0.847279
0.250,50,0.3200,6,cold,0.849611
0.250,50,0.3200,7,cold,0.849776
0.250,50,0.3200,8,cold,0.858438
0.250,50,0.3400,1,cold,0.849658
0.250,50,0.3400,2,cold,0.844008
0.250,50,0.3400,3,cold,0.848049
0.250,50,0.3400,4,cold,0.842924
0.250,50,0.3400,5,cold,0.858154
0.250,50,0.3400,6,cold,0.846256
0.250,50,0.3400,7,cold,0.839273
0.250,50,0.3400,8,cold,0.852883
0.250,50,0.3600,1,cold,0.833093
0.250,50,0.3600,2,cold,0.831441
0.250,50,0.3600,3,cold,0.838006
0.250,50,0.3600,4,cold,0.846096
0.250,50,0.3600,5,cold,0.828674
0.250,50,0.3600,6,cold,0.849914
0.250,50,0.3600,7,cold,0.845165
0.250,50,0.3600,8,cold,0.820228
0.250,50,0.3800,1,cold,0.823268
0.250,50,0.3800,2,cold,0.837548
0.250,50,0.3800,3,cold,0.815212
0.250,50,0.3800,4,cold,0.831532
0.250,50,0.3800,5,cold,0.845166
0.250,50,0.3800,6,cold,0.830812
0.250,50,0.3800,7,cold,0.828186
0.250,50,0.3800,8,cold,0.845117
0.250,50,0.4000,1,cold,0.815702
0.250,50,0.4000,2,cold,0.816544
0.250,50,0.4000,3,cold,0.818868
0.250,50,0.4000,4,cold,0.831791
0.250,50,0.4000,5,cold,0.822310
0.250,50,0.4000,6,cold,0.818216
0.250,50,0.4000,7,cold,0.836335
0.250,50,0.4000,8,cold,0.824762
0.250,50,0.4200,1,cold,0.501818
0.250,50,0.4200,2,cold,0.807051
0.250,50,0.4200,3,cold,0.817390
0.250,50,0.4200,4,cold,0.818487
0.250,50,0.4200,5,cold,0.803166
0.250,50,0.4200,6,cold,0.809779
0.250,50,0.4200,7,cold,0.802794
0.250,50,0.4200,8,cold,0.808866
0.250,50,0.4400,1,cold,0.804967
