# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+06  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T21:59:16.649
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.03500,76,30201,12,0.981441,0.984415,0.966997,0.568022
0.200,0.03500,76,29992,13,0.982953,0.983774,0.966563,0.549143
0.200,0.03500,76,30067,14,0.982766,0.983870,0.967201,0.539423
0.200,0.03500,76,29939,15,0.983032,0.983757,0.966323,0.521203
0.200,0.03500,76,30085,16,0.983574,0.982467,0.967190,0.525897
0.200,0.03500,76,29748,17,0.982225,0.983768,0.966808,0.540895
0.200,0.03500,76,30028,18,0.981696,0.983205,0.965320,0.536159
0.200,0.03500,76,30124,19,0.984460,0.984380,0.968830,0.547754
0.200,0.03500,76,30376,20,0.983564,0.983095,0.967278,0.529683
0.200,0.03500,76,29896,21,0.983253,0.983840,0.967770,0.523860
0.200,0.03500,76,30242,22,0.981433,0.980827,0.964288,0.557705
0.200,0.03500,76,30163,23,0.982491,0.982866,0.963450,0.545047
0.200,0.03500,76,30113,24,0.984159,0.983963,0.967629,0.562893
0.200,0.03500,76,30096,25,0.982104,0.983445,0.963459,0.548231
0.200,0.03500,76,29949,26,0.982204,0.982900,0.963604,0.520443
0.200,0.03500,76,30300,27,0.982255,0.980767,0.963919,0.544122
0.200,0.03500,76,29935,28,0.982346,0.984478,0.967248,0.527760
0.200,0.03500,76,29790,29,0.981592,0.983338,0.965246,0.531704
0.200,0.03500,76,30303,30,0.983872,0.984879,0.967688,0.549280
0.200,0.03500,76,30009,31,0.983581,0.984108,0.967636,0.567857
0.200,0.03500,76,29919,32,0.981464,0.982690,0.964850,0.555424
0.200,0.03500,76,30029,33,0.982020,0.981277,0.965899,0.554043
0.200,0.03500,76,29958,34,0.982493,0.983046,0.964723,0.550286
0.200,0.03500,76,30055,35,0.980534,0.982144,0.961739,0.547000
0.200,0.03500,76,30257,36,0.982345,0.982661,0.966550,0.555785
0.200,0.03500,76,30180,37,0.981797,0.981404,0.964092,0.530995
0.200,0.03500,76,30044,38,0.983676,0.981383,0.966453,0.564108
0.200,0.03500,76,30141,39,0.983439,0.982231,0.965573,0.527240
0.200,0.03500,76,29922,40,0.983989,0.983264,0.967199,0.553056
0.200,0.03500,76,30277,41,0.983466,0.982949,0.966022,0.539481
0.200,0.03500,76,30253,42,0.983426,0.981768,0.967209,0.561843
0.200,0.03500,76,30137,43,0.980069,0.982615,0.962341,0.528279
0.200,0.03500,76,30107,44,0.983111,0.982586,0.967341,0.544288
0.200,0.03500,76,29828,45,0.982835,0.983455,0.969647,0.551669
0.200,0.03500,76,30162,46,0.984290,0.983697,0.965449,0.526004
0.200,0.03500,76,29769,47,0.983054,0.984292,0.966638,0.539709
0.200,0.03500,76,29734,48,0.982663,0.983492,0.964951,0.557091
0.200,0.03500,76,30091,49,0.982355,0.983730,0.965900,0.534352
0.200,0.03500,76,30084,50,0.982320,0.982974,0.964705,0.522546
0.200,0.03500,76,30050,51,0.982735,0.982480,0.964247,0.561329
0.200,0.03500,76,30113,52,0.983665,0.984249,0.966878,0.515257
0.200,0.03500,76,29800,53,0.982276,0.981325,0.965597,0.530849
0.200,0.03500,76,30126,54,0.980966,0.983946,0.965903,0.537334
0.200,0.03500,76,29754,55,0.984180,0.983644,0.967553,0.546359
0.200,0.03500,76,30112,56,0.981015,0.983418,0.966251,0.519403
0.200,0.03500,76,29978,57,0.982923,0.982520,0.963287,0.545604
0.200,0.03500,76,30187,58,0.981490,0.982366,0.962652,0.535198
0.200,0.03500,76,29846,59,0.984100,0.982594,0.966651,0.530788
0.200,0.03500,76,30240,60,0.984777,0.982389,0.967248,0.527745
0.200,0.03500,76,30253,61,0.983753,0.983504,0.967870,0.535255
0.200,0.03500,76,29877,62,0.983142,0.983667,0.966834,0.534526
0.200,0.03500,76,30188,63,0.983410,0.982852,0.967507,0.527065
0.200,0.03500,76,30097,64,0.983930,0.984121,0.969234,0.535430
0.200,0.04500,76,29677,1,0.978140,0.978981,0.956729,0.544690
0.200,0.04500,76,30086,2,0.977481,0.978552,0.955558,0.552616
0.200,0.04500,76,30078,3,0.978336,0.975703,0.956183,0.548914
0.200,0.04500,76,30299,4,0.977686,0.977180,0.955834,0.528485
0.200,0.04500,76,29933,5,0.977530,0.978327,0.955573,0.543639
0.200,0.04500,76,30052,6,0.978648,0.979441,0.959505,0.531276
0.200,0.04500,76,29909,7,0.976794,0.978102,0.959234,0.540806
0.200,0.04500,76,29831,8,0.975714,0.976334,0.952678,0.545816
0.200,0.04500,76,30326,9,0.978406,0.979432,0.958342,0.565083
0.200,0.04500,76,29838,10,0.976476,0.978371,0.953701,0.530052
0.200,0.04500,76,30099,11,0.979382,0.976899,0.956014,0.530117
0.200,0.04500,76,30201,12,0.978813,0.977798,0.958906,0.563240
0.200,0.04500,76,29992,13,0.978767,0.975037,0.956005,0.539192
0.200,0.04500,76,30067,14,0.979770,0.978047,0.958334,0.539843
