# generator=escape_time_Ndim.jl  N=100  N_DIS=32  MAX_STEPS=1000000  φ_escape=0.5  generated=2026-06-11T16:14:47.416
alpha,T,disorder,K,tau,escaped
0.600,0.01750,1,1,1000000,0
0.550,0.05750,23,1,1000000,0
0.580,0.03500,18,1,1000000,0
0.500,0.10000,7,1,1000000,0
0.620,0.00750,28,1,1000000,0
0.620,0.01000,28,1,30156,1
0.620,0.01250,28,1,3688,1
0.620,0.01500,28,1,2933,1
0.620,0.01750,28,1,3571,1
0.620,0.02000,28,1,1756,1
0.620,0.00750,12,1,1000000,0
0.620,0.01000,12,1,27782,1
0.620,0.01250,12,1,4096,1
0.620,0.01500,12,1,2799,1
0.620,0.01750,12,1,2230,1
0.620,0.02000,12,1,2058,1
0.580,0.03750,18,1,511952,1
0.580,0.04000,18,1,18695,1
0.550,0.06000,23,1,1000000,0
0.600,0.02000,1,1,1000000,0
0.600,0.02250,1,1,2188,1
0.600,0.02500,1,1,7357,1
0.600,0.02750,1,1,1970,1
0.600,0.03000,1,1,1533,1
0.600,0.03250,1,1,1479,1
0.600,0.03500,1,1,943,1
0.550,0.02500,7,1,1000000,0
0.600,0.00500,28,1,1000000,0
0.600,0.00500,12,1,1000000,0
0.500,0.06000,18,1,1000000,0
0.620,0.00250,23,1,1000000,0
0.580,0.01000,2,1,1000000,0
0.550,0.02750,7,1,1000000,0
0.600,0.00750,28,1,1000000,0
0.600,0.00750,12,1,1000000,0
0.500,0.06250,18,1,1000000,0
0.580,0.01250,2,1,1000000,0
0.620,0.00500,23,1,1000000,0
0.550,0.03000,7,1,1000000,0
0.600,0.01000,28,1,1000000,0
0.600,0.01000,12,1,1000000,0
0.500,0.06500,18,1,1000000,0
0.580,0.01500,2,1,1000000,0
0.620,0.00750,23,1,1000000,0
0.620,0.01000,23,1,11614,1
0.620,0.01250,23,1,3473,1
0.620,0.01500,23,1,2399,1
0.620,0.01750,23,1,2161,1
0.620,0.02000,23,1,1586,1
0.550,0.03250,7,1,1000000,0
0.600,0.01250,28,1,1000000,0
0.600,0.01250,12,1,1000000,0
0.500,0.06750,18,1,1000000,0
0.580,0.01750,2,1,1000000,0
0.600,0.00500,23,1,1000000,0
0.550,0.03500,7,1,1000000,0
0.600,0.01500,28,1,1000000,0
0.600,0.01500,12,1,1000000,0
0.500,0.07000,18,1,1000000,0
0.580,0.02000,2,1,1000000,0
0.600,0.00750,23,1,1000000,0
0.550,0.03750,7,1,1000000,0
0.600,0.01750,28,1,1000000,0
0.600,0.01750,12,1,1000000,0
0.500,0.07250,18,1,1000000,0
0.600,0.02000,12,1,540629,1
0.600,0.02250,12,1,27355,1
0.600,0.02500,12,1,2466,1
0.600,0.02750,12,1,2293,1
0.600,0.03000,12,1,1280,1
0.600,0.03250,12,1,1077,1
0.600,0.03500,12,1,1496,1
0.580,0.02250,2,1,1000000,0
0.600,0.01000,23,1,1000000,0
0.550,0.04000,7,1,1000000,0
0.600,0.02000,28,1,1000000,0
0.600,0.02250,28,1,3973,1
0.600,0.02500,28,1,7571,1
0.600,0.02750,28,1,2775,1
0.600,0.03000,28,1,1690,1
0.600,0.03250,28,1,1492,1
0.600,0.03500,28,1,1445,1
0.500,0.07500,18,1,1000000,0
0.580,0.01000,13,1,1000000,0
0.580,0.02500,2,1,1000000,0
0.600,0.01250,23,1,1000000,0
0.550,0.04250,7,1,1000000,0
0.580,0.01000,29,1,1000000,0
0.500,0.07750,18,1,1000000,0
0.580,0.01250,13,1,1000000,0
0.580,0.02750,2,1,1000000,0
0.600,0.01500,23,1,1000000,0
0.550,0.04500,7,1,1000000,0
0.580,0.01250,29,1,1000000,0
0.500,0.08000,18,1,1000000,0
0.580,0.01500,13,1,1000000,0
0.580,0.03000,2,1,1000000,0
0.600,0.01750,23,1,1000000,0
0.550,0.04750,7,1,1000000,0
0.580,0.01500,29,1,1000000,0
0.500,0.08250,18,1,1000000,0
0.600,0.02000,23,1,732499,1
0.600,0.02250,23,1,5865,1
0.600,0.02500,23,1,2447,1
0.600,0.02750,23,1,1686,1
0.600,0.03000,23,1,1807,1
0.600,0.03250,23,1,1209,1
0.600,0.03500,23,1,1083,1
0.580,0.01750,13,1,1000000,0
0.580,0.03250,2,1,1000000,0
0.550,0.05000,7,1,1000000,0
0.580,0.01750,29,1,1000000,0
0.500,0.08500,18,1,1000000,0
0.580,0.01000,24,1,1000000,0
0.580,0.02000,13,1,1000000,0
0.580,0.03500,2,1,1000000,0
0.550,0.05250,7,1,1000000,0
0.580,0.02000,29,1,1000000,0
0.500,0.08750,18,1,1000000,0
0.580,0.01250,24,1,1000000,0
0.580,0.02250,13,1,1000000,0
0.580,0.03750,2,1,1000000,0
0.580,0.04000,2,1,17691,1
0.550,0.05500,7,1,1000000,0
0.580,0.02250,29,1,1000000,0
0.500,0.09000,18,1,1000000,0
0.580,0.01500,24,1,1000000,0
0.580,0.02500,13,1,1000000,0
0.500,0.06000,2,1,1000000,0
0.550,0.05750,7,1,1000000,0
0.580,0.02500,29,1,1000000,0
0.500,0.09250,18,1,1000000,0
0.580,0.01750,24,1,1000000,0
0.580,0.02750,13,1,1000000,0
0.500,0.06250,2,1,1000000,0
0.550,0.06000,7,1,1000000,0
0.580,0.02750,29,1,1000000,0
0.500,0.09500,18,1,1000000,0
0.580,0.02000,24,1,1000000,0
0.580,0.03000,13,1,1000000,0
0.500,0.06500,2,1,1000000,0
0.620,0.00250,7,1,1000000,0
0.580,0.03000,29,1,1000000,0
0.500,0.09750,18,1,1000000,0
0.580,0.02250,24,1,1000000,0
0.580,0.03250,13,1,1000000,0
0.500,0.06750,2,1,1000000,0
0.620,0.00500,7,1,1000000,0
0.580,0.03250,29,1,1000000,0
0.500,0.10000,18,1,1000000,0
0.580,0.02500,24,1,1000000,0
0.580,0.03500,13,1,1000000,0
0.500,0.07000,2,1,1000000,0
0.620,0.00750,7,1,1000000,0
0.620,0.01000,7,1,30767,1
0.620,0.01250,7,1,3667,1
0.620,0.01500,7,1,2270,1
0.620,0.01750,7,1,2128,1
0.620,0.02000,7,1,1325,1
0.580,0.03500,29,1,1000000,0
0.550,0.02500,18,1,1000000,0
0.580,0.02750,24,1,1000000,0
0.580,0.03750,13,1,1000000,0
0.500,0.07250,2,1,1000000,0
0.580,0.04000,13,1,249133,1
0.580,0.03750,29,1,1000000,0
0.600,0.00500,7,1,1000000,0
0.580,0.04000,29,1,64426,1
0.550,0.02750,18,1,1000000,0
0.580,0.03000,24,1,1000000,0
0.500,0.07500,2,1,1000000,0
0.500,0.06000,13,1,1000000,0
0.600,0.00750,7,1,1000000,0
0.500,0.06000,29,1,1000000,0
0.550,0.03000,18,1,1000000,0
0.580,0.03250,24,1,1000000,0
0.500,0.07750,2,1,1000000,0
0.500,0.06250,13,1,1000000,0
0.600,0.01000,7,1,1000000,0
0.500,0.06250,29,1,1000000,0
0.550,0.03250,18,1,1000000,0
0.580,0.03500,24,1,1000000,0
0.500,0.08000,2,1,1000000,0
0.500,0.06500,13,1,1000000,0
0.600,0.01250,7,1,1000000,0
0.500,0.06500,29,1,1000000,0
0.550,0.03500,18,1,1000000,0
0.580,0.03750,24,1,1000000,0
0.580,0.04000,24,1,39150,1
0.500,0.08250,2,1,1000000,0
0.500,0.06750,13,1,1000000,0
0.600,0.01500,7,1,1000000,0
0.500,0.06750,29,1,1000000,0
0.550,0.03750,18,1,1000000,0
0.500,0.06000,24,1,1000000,0
0.500,0.08500,2,1,1000000,0
0.500,0.07000,13,1,1000000,0
0.600,0.01750,7,1,1000000,0
0.500,0.07000,29,1,1000000,0
0.550,0.04000,18,1,1000000,0
0.500,0.06250,24,1,1000000,0
0.500,0.08750,2,1,1000000,0
0.500,0.07250,13,1,1000000,0
0.600,0.02000,7,1,1000000,0
0.600,0.02250,7,1,5317,1
0.600,0.02500,7,1,3909,1
0.600,0.02750,7,1,2158,1
0.600,0.03000,7,1,1568,1
0.600,0.03250,7,1,1525,1
0.600,0.03500,7,1,987,1
0.500,0.07250,29,1,1000000,0
0.550,0.04250,18,1,1000000,0
0.500,0.06500,24,1,1000000,0
0.500,0.09000,2,1,1000000,0
0.500,0.07500,13,1,1000000,0
0.580,0.01000,8,1,1000000,0
0.500,0.07500,29,1,1000000,0
0.550,0.04500,18,1,1000000,0
0.500,0.06750,24,1,1000000,0
0.500,0.09250,2,1,1000000,0
0.500,0.07750,13,1,1000000,0
0.580,0.01250,8,1,1000000,0
0.500,0.07750,29,1,1000000,0
0.550,0.04750,18,1,1000000,0
0.500,0.07000,24,1,1000000,0
0.500,0.09500,2,1,1000000,0
0.500,0.08000,13,1,1000000,0
0.580,0.01500,8,1,1000000,0
0.500,0.08000,29,1,1000000,0
0.550,0.05000,18,1,1000000,0
0.500,0.07250,24,1,1000000,0
0.500,0.09750,2,1,1000000,0
0.500,0.08250,13,1,1000000,0
