# generator=hybrid_1d_LSE.jl  N=150  N_DIS=32  N_EQ=4000  N_SAMP=16000  σ_floor=0.01  generated=2026-06-10T23:43:22.978
alpha,T,disorder,K,phi_mean,phi_var,acc_rate
0.580,0.06250,25,2847535,0.967279,0.000014,0.1198
0.520,0.07250,11,1579418,0.961146,0.000021,0.1322
0.600,0.04750,30,3076462,0.976397,0.000008,0.0953
0.540,0.06750,16,2040253,0.964549,0.000017,0.1210
0.500,0.05750,7,1152014,0.970397,0.000011,0.1087
0.560,0.00250,21,2483195,0.998686,0.000000,0.0177
0.520,0.07750,11,1579418,0.958506,0.000022,0.1285
0.500,0.06250,7,1152014,0.967743,0.000015,0.1139
0.540,0.07250,16,2040253,0.961825,0.000020,0.1258
0.580,0.06750,25,2847535,0.964719,0.000018,0.1228
0.560,0.00750,21,2483195,0.996064,0.000000,0.0398
0.500,0.06750,7,1152014,0.965327,0.000016,0.1177
0.600,0.05250,30,3076462,0.973921,0.000010,0.1070
0.520,0.08250,11,1579418,0.955804,0.000027,0.1361
0.500,0.07250,7,1152014,0.962721,0.000018,0.1211
0.540,0.07750,16,2040253,0.958847,0.000023,0.1318
0.560,0.01250,21,2483195,0.993387,0.000001,0.0523
0.520,0.08750,11,1579418,0.952857,0.000031,0.1433
0.500,0.07750,7,1152014,0.960287,0.000021,0.1265
0.580,0.07250,25,2847535,0.962202,0.000021,0.1234
0.600,0.05750,30,3076462,0.971316,0.000011,0.1089
0.500,0.08250,7,1152014,0.957636,0.000024,0.1344
0.520,0.09250,11,1579418,0.950127,0.000034,0.1447
0.540,0.08250,16,2040253,0.956370,0.000026,0.1339
0.560,0.01750,21,2483195,0.990715,0.000001,0.0617
0.500,0.08750,7,1152014,0.955210,0.000026,0.1331
0.520,0.09750,11,1579418,0.947888,0.000038,0.1500
0.580,0.07750,25,2847535,0.959454,0.000022,0.1331
0.540,0.08750,16,2040253,0.953796,0.000028,0.1360
0.500,0.09250,7,1152014,0.952320,0.000031,0.1385
0.560,0.02250,21,2483195,0.988148,0.000002,0.0708
0.600,0.06250,30,3076462,0.968644,0.000013,0.1129
0.520,0.00250,12,1579418,0.998638,0.000000,0.0198
0.500,0.09750,7,1152014,0.949942,0.000035,0.1496
0.520,0.00750,12,1579418,0.995966,0.000000,0.0422
0.500,0.00250,8,1152014,0.998707,0.000000,0.0183
0.540,0.09250,16,2040253,0.951265,0.000034,0.1414
0.560,0.02750,21,2483195,0.985429,0.000003,0.0761
0.580,0.08250,25,2847535,0.956709,0.000025,0.1295
0.500,0.00750,8,1152014,0.996136,0.000000,0.0411
0.520,0.01250,12,1579418,0.993269,0.000001,0.0541
0.600,0.06750,30,3076462,0.966356,0.000015,0.1137
0.500,0.01250,8,1152014,0.993550,0.000001,0.0518
0.520,0.01750,12,1579418,0.990555,0.000001,0.0656
0.540,0.09750,16,2040253,0.948369,0.000039,0.1489
0.560,0.03250,21,2483195,0.982742,0.000004,0.0840
0.500,0.01750,8,1152014,0.990887,0.000001,0.0624
0.540,0.00250,17,2040253,0.998653,0.000000,0.0196
0.520,0.02250,12,1579418,0.987875,0.000002,0.0708
0.580,0.08750,25,2847535,0.954149,0.000029,0.1368
0.500,0.02250,8,1152014,0.988416,0.000002,0.0686
0.600,0.07250,30,3076462,0.963584,0.000019,0.1209
0.500,0.02750,8,1152014,0.985788,0.000003,0.0737
0.560,0.03750,21,2483195,0.980136,0.000005,0.0899
0.520,0.02750,12,1579418,0.985118,0.000003,0.0754
0.540,0.00750,17,2040253,0.995982,0.000000,0.0436
0.500,0.03250,8,1152014,0.983252,0.000003,0.0842
0.520,0.03250,12,1579418,0.982455,0.000004,0.0832
0.580,0.09250,25,2847535,0.951574,0.000033,0.1402
0.540,0.01250,17,2040253,0.993298,0.000001,0.0551
0.500,0.03750,8,1152014,0.980624,0.000005,0.0910
0.560,0.04250,21,2483195,0.977469,0.000007,0.0950
0.600,0.07750,30,3076462,0.961299,0.000019,0.1246
0.500,0.04250,8,1152014,0.978054,0.000007,0.0946
0.520,0.03750,12,1579418,0.979770,0.000006,0.0935
0.540,0.01750,17,2040253,0.990657,0.000001,0.0636
0.500,0.04750,8,1152014,0.975410,0.000008,0.1036
0.520,0.04250,12,1579418,0.977210,0.000007,0.1027
0.560,0.04750,21,2483195,0.974796,0.000008,0.1021
0.580,0.09750,25,2847535,0.948821,0.000036,0.1451
0.500,0.05250,8,1152014,0.972906,0.000009,0.1071
0.540,0.02250,17,2040253,0.987859,0.000002,0.0690
0.600,0.08250,30,3076462,0.958308,0.000024,0.1275
0.520,0.04750,12,1579418,0.974371,0.000009,0.1085
0.500,0.05750,8,1152014,0.970319,0.000012,0.1092
0.580,0.00250,26,2847535,0.998719,0.000000,0.0179
0.560,0.05250,21,2483195,0.972368,0.000010,0.1087
0.540,0.02750,17,2040253,0.985199,0.000003,0.0808
0.500,0.06250,8,1152014,0.967692,0.000013,0.1150
0.520,0.05250,12,1579418,0.971656,0.000010,0.1079
0.500,0.06750,8,1152014,0.965112,0.000015,0.1169
0.580,0.00750,26,2847535,0.996136,0.000000,0.0422
0.600,0.08750,30,3076462,0.955849,0.000026,0.1290
0.540,0.03250,17,2040253,0.982584,0.000004,0.0878
0.520,0.05750,12,1579418,0.968908,0.000013,0.1122
0.560,0.05750,21,2483195,0.969467,0.000012,0.1138
0.500,0.07250,8,1152014,0.962531,0.000019,0.1215
0.520,0.06250,12,1579418,0.966328,0.000015,0.1177
0.540,0.03750,17,2040253,0.979830,0.000005,0.0906
0.500,0.07750,8,1152014,0.960129,0.000022,0.1281
0.580,0.01250,26,2847535,0.993513,0.000001,0.0527
0.560,0.06250,21,2483195,0.966971,0.000014,0.1157
0.600,0.09250,30,3076462,0.953346,0.000030,0.1391
0.500,0.08250,8,1152014,0.957434,0.000026,0.1306
0.520,0.06750,12,1579418,0.963744,0.000018,0.1279
0.540,0.04250,17,2040253,0.977291,0.000007,0.1017
0.580,0.01750,26,2847535,0.990959,0.000001,0.0630
0.500,0.08750,8,1152014,0.954870,0.000027,0.1330
0.520,0.07250,12,1579418,0.961142,0.000020,0.1281
0.560,0.06750,21,2483195,0.964303,0.000017,0.1229
0.500,0.09250,8,1152014,0.952292,0.000031,0.1389
0.540,0.04750,17,2040253,0.974506,0.000009,0.1007
0.600,0.09750,30,3076462,0.950765,0.000032,0.1366
0.520,0.07750,12,1579418,0.958170,0.000023,0.1328
0.580,0.02250,26,2847535,0.988397,0.000002,0.0691
0.500,0.09750,8,1152014,0.949816,0.000035,0.1462
0.500,0.00250,9,1152014,0.998689,0.000000,0.0184
0.540,0.05250,17,2040253,0.971770,0.000011,0.1127
0.560,0.07250,21,2483195,0.961507,0.000019,0.1270
0.520,0.08250,12,1579418,0.955443,0.000027,0.1389
0.600,0.00250,31,3076462,0.998762,0.000000,0.0179
0.500,0.00750,9,1152014,0.996142,0.000000,0.0396
0.580,0.02750,26,2847535,0.985811,0.000003,0.0727
0.500,0.01250,9,1152014,0.993519,0.000000,0.0512
0.540,0.05750,17,2040253,0.969278,0.000014,0.1142
0.520,0.08750,12,1579418,0.952970,0.000031,0.1409
0.500,0.01750,9,1152014,0.990919,0.000001,0.0630
0.560,0.07750,21,2483195,0.958836,0.000025,0.1275
0.600,0.00750,31,3076462,0.996309,0.000000,0.0379
0.500,0.02250,9,1152014,0.988399,0.000001,0.0659
0.520,0.09250,12,1579418,0.950015,0.000034,0.1454
0.540,0.06250,17,2040253,0.966658,0.000016,0.1201
0.580,0.03250,26,2847535,0.983200,0.000004,0.0830
0.500,0.02750,9,1152014,0.985726,0.000003,0.0795
0.600,0.01250,31,3076462,0.993807,0.000000,0.0512
0.560,0.08250,21,2483195,0.956331,0.000027,0.1341
0.520,0.09750,12,1579418,0.947338,0.000036,0.1489
0.500,0.03250,9,1152014,0.983310,0.000004,0.0814
0.540,0.06750,17,2040253,0.963864,0.000018,0.1248
0.520,0.00250,13,1579418,0.998664,0.000000,0.0194
0.500,0.03750,9,1152014,0.980706,0.000005,0.0855
0.580,0.03750,26,2847535,0.980606,0.000005,0.0918
0.500,0.04250,9,1152014,0.978206,0.000006,0.0954
0.600,0.01750,31,3076462,0.991424,0.000001,0.0609
0.520,0.00750,13,1579418,0.995959,0.000000,0.0418
0.560,0.08750,21,2483195,0.953701,0.000030,0.1437
0.540,0.07250,17,2040253,0.961027,0.000019,0.1279
0.500,0.04750,9,1152014,0.975668,0.000008,0.0983
0.520,0.01250,13,1579418,0.993343,0.000001,0.0541
0.580,0.04250,26,2847535,0.977953,0.000006,0.0931
0.500,0.05250,9,1152014,0.972945,0.000009,0.1092
0.540,0.07750,17,2040253,0.958592,0.000024,0.1343
0.600,0.02250,31,3076462,0.988781,0.000002,0.0648
0.520,0.01750,13,1579418,0.990584,0.000001,0.0615
0.560,0.09250,21,2483195,0.950771,0.000034,0.1468
0.500,0.05750,9,1152014,0.970217,0.000013,0.1146
0.520,0.02250,13,1579418,0.987989,0.000002,0.0712
0.580,0.04750,26,2847535,0.975340,0.000008,0.0984
0.500,0.06250,9,1152014,0.967766,0.000013,0.1167
0.540,0.08250,17,2040253,0.955871,0.000026,0.1341
0.600,0.02750,31,3076462,0.986379,0.000002,0.0767
0.520,0.02750,13,1579418,0.985174,0.000003,0.0793
0.560,0.09750,21,2483195,0.948391,0.000037,0.1466
0.500,0.06750,9,1152014,0.965264,0.000015,0.1192
0.500,0.07250,9,1152014,0.962938,0.000020,0.1198
0.520,0.03250,13,1579418,0.982553,0.000004,0.0838
0.540,0.08750,17,2040253,0.952906,0.000030,0.1414
0.580,0.05250,26,2847535,0.972708,0.000010,0.1071
0.560,0.00250,22,2483195,0.998686,0.000000,0.0176
0.600,0.03250,31,3076462,0.983789,0.000003,0.0794
0.500,0.07750,9,1152014,0.960060,0.000022,0.1255
0.520,0.03750,13,1579418,0.979844,0.000005,0.0927
0.560,0.00750,22,2483195,0.996168,0.000000,0.0364
0.540,0.09250,17,2040253,0.950417,0.000031,0.1415
0.500,0.08250,9,1152014,0.957436,0.000024,0.1347
0.520,0.04250,13,1579418,0.977136,0.000007,0.0978
0.580,0.05750,26,2847535,0.970155,0.000012,0.1142
0.500,0.08750,9,1152014,0.955113,0.000028,0.1360
0.600,0.03750,31,3076462,0.981320,0.000005,0.0869
0.560,0.01250,22,2483195,0.993584,0.000001,0.0512
0.540,0.09750,17,2040253,0.947646,0.000036,0.1499
0.520,0.04750,13,1579418,0.974494,0.000009,0.1039
0.500,0.09250,9,1152014,0.952482,0.000034,0.1424
0.540,0.00250,18,2040253,0.998670,0.000000,0.0177
0.580,0.06250,26,2847535,0.967837,0.000014,0.1134
0.500,0.09750,9,1152014,0.949845,0.000034,0.1411
0.520,0.05250,13,1579418,0.971874,0.000011,0.1114
0.560,0.01750,22,2483195,0.991015,0.000001,0.0583
0.500,0.00250,10,1152014,0.998684,0.000000,0.0182
0.600,0.04250,31,3076462,0.978712,0.000006,0.0925
0.540,0.00750,18,2040253,0.996008,0.000000,0.0392
0.520,0.05750,13,1579418,0.969204,0.000013,0.1162
0.500,0.00750,10,1152014,0.996066,0.000000,0.0406
0.560,0.02250,22,2483195,0.988453,0.000002,0.0711
0.500,0.01250,10,1152014,0.993596,0.000001,0.0576
0.580,0.06750,26,2847535,0.964864,0.000015,0.1204
0.540,0.01250,18,2040253,0.993379,0.000001,0.0529
0.520,0.06250,13,1579418,0.966513,0.000014,0.1217
0.500,0.01750,10,1152014,0.990931,0.000001,0.0624
0.600,0.04750,31,3076462,0.976338,0.000007,0.0995
0.560,0.02750,22,2483195,0.985837,0.000003,0.0765
0.500,0.02250,10,1152014,0.988486,0.000002,0.0660
0.540,0.01750,18,2040253,0.990665,0.000001,0.0635
0.520,0.06750,13,1579418,0.963773,0.000017,0.1216
0.500,0.02750,10,1152014,0.985721,0.000003,0.0733
0.580,0.07250,26,2847535,0.962476,0.000019,0.1223
0.540,0.02250,18,2040253,0.988015,0.000002,0.0715
0.520,0.07250,13,1579418,0.961193,0.000019,0.1243
0.500,0.03250,10,1152014,0.983346,0.000004,0.0828
0.560,0.03250,22,2483195,0.983361,0.000004,0.0814
0.600,0.05250,31,3076462,0.973782,0.000009,0.1031
0.500,0.03750,10,1152014,0.980594,0.000005,0.0924
0.520,0.07750,13,1579418,0.958455,0.000024,0.1339
0.540,0.02750,18,2040253,0.985308,0.000003,0.0809
0.580,0.07750,26,2847535,0.959481,0.000023,0.1323
0.500,0.04250,10,1152014,0.978077,0.000007,0.0956
0.560,0.03750,22,2483195,0.980652,0.000005,0.0863
0.600,0.05750,31,3076462,0.971228,0.000011,0.1072
0.520,0.08250,13,1579418,0.955742,0.000027,0.1354
0.500,0.04750,10,1152014,0.975447,0.000008,0.0999
0.540,0.03250,18,2040253,0.982673,0.000004,0.0839
0.500,0.05250,10,1152014,0.972582,0.000010,0.1023
0.560,0.04250,22,2483195,0.978082,0.000006,0.0954
0.520,0.08750,13,1579418,0.953496,0.000030,0.1394
0.580,0.08250,26,2847535,0.956845,0.000026,0.1322
0.540,0.03750,18,2040253,0.980054,0.000006,0.0902
0.500,0.05750,10,1152014,0.970340,0.000011,0.1105
0.600,0.06250,31,3076462,0.968601,0.000013,0.1106
0.520,0.09250,13,1579418,0.950369,0.000032,0.1454
0.500,0.06250,10,1152014,0.967737,0.000014,0.1142
0.560,0.04750,22,2483195,0.975407,0.000008,0.1015
0.540,0.04250,18,2040253,0.977160,0.000007,0.0985
0.500,0.06750,10,1152014,0.965135,0.000017,0.1216
0.580,0.08750,26,2847535,0.954362,0.000027,0.1403
0.520,0.09750,13,1579418,0.947711,0.000035,0.1495
0.500,0.07250,10,1152014,0.962552,0.000020,0.1255
0.540,0.04750,18,2040253,0.974772,0.000009,0.1061
0.600,0.06750,31,3076462,0.966242,0.000014,0.1155
0.520,0.00250,14,1579418,0.998633,0.000000,0.0194
0.560,0.05250,22,2483195,0.972924,0.000010,0.1060
0.500,0.07750,10,1152014,0.959814,0.000021,0.1225
0.520,0.00750,14,1579418,0.995895,0.000000,0.0432
0.580,0.09250,26,2847535,0.951672,0.000033,0.1444
0.540,0.05250,18,2040253,0.972176,0.000009,0.1018
0.500,0.08250,10,1152014,0.957491,0.000024,0.1318
0.520,0.01250,14,1579418,0.993242,0.000001,0.0525
0.560,0.05750,22,2483195,0.970177,0.000013,0.1152
0.600,0.07250,31,3076462,0.963486,0.000018,0.1210
0.500,0.08750,10,1152014,0.954705,0.000026,0.1338
0.520,0.01750,14,1579418,0.990533,0.000001,0.0639
0.540,0.05750,18,2040253,0.969418,0.000012,0.1147
0.500,0.09250,10,1152014,0.952298,0.000030,0.1376
0.580,0.09750,26,2847535,0.949153,0.000036,0.1462
0.560,0.06250,22,2483195,0.967614,0.000014,0.1153
0.520,0.02250,14,1579418,0.987795,0.000002,0.0764
0.500,0.09750,10,1152014,0.949676,0.000035,0.1434
0.540,0.06250,18,2040253,0.966459,0.000015,0.1176
0.600,0.07750,31,3076462,0.960889,0.000020,0.1225
0.500,0.00250,11,1152014,0.998701,0.000000,0.0167
0.520,0.02750,14,1579418,0.985108,0.000003,0.0811
0.580,0.00250,27,2847535,0.998699,0.000000,0.0169
0.500,0.00750,11,1152014,0.996070,0.000000,0.0377
0.560,0.06750,22,2483195,0.965164,0.000016,0.1144
0.520,0.03250,14,1579418,0.982291,0.000004,0.0915
0.540,0.06750,18,2040253,0.963861,0.000017,0.1226
0.500,0.01250,11,1152014,0.993522,0.000001,0.0486
0.580,0.00750,27,2847535,0.996125,0.000000,0.0406
0.500,0.01750,11,1152014,0.990920,0.000001,0.0596
0.600,0.08250,31,3076462,0.957923,0.000025,0.1305
0.520,0.03750,14,1579418,0.979586,0.000006,0.0912
0.560,0.07250,22,2483195,0.962448,0.000020,0.1225
0.540,0.07250,18,2040253,0.961327,0.000022,0.1290
0.500,0.02250,11,1152014,0.988326,0.000002,0.0701
0.520,0.04250,14,1579418,0.976811,0.000007,0.0998
0.580,0.01250,27,2847535,0.993481,0.000001,0.0510
0.500,0.02750,11,1152014,0.985791,0.000003,0.0761
0.540,0.07750,18,2040253,0.958786,0.000024,0.1323
0.500,0.03250,11,1152014,0.983186,0.000004,0.0820
0.520,0.04750,14,1579418,0.974384,0.000009,0.1050
0.600,0.08750,31,3076462,0.955659,0.000025,0.1321
0.560,0.07750,22,2483195,0.959693,0.000023,0.1310
0.500,0.03750,11,1152014,0.980697,0.000005,0.0906
0.580,0.01750,27,2847535,0.990835,0.000001,0.0604
0.520,0.05250,14,1579418,0.971432,0.000010,0.1108
0.540,0.08250,18,2040253,0.955997,0.000027,0.1314
0.500,0.04250,11,1152014,0.978047,0.000007,0.0961
0.560,0.08250,22,2483195,0.957162,0.000025,0.1384
0.500,0.04750,11,1152014,0.975407,0.000008,0.0988
0.520,0.05750,14,1579418,0.968791,0.000012,0.1122
0.600,0.09250,31,3076462,0.952989,0.000033,0.1366
0.580,0.02250,27,2847535,0.988238,0.000002,0.0689
0.540,0.08750,18,2040253,0.953255,0.000031,0.1390
0.500,0.05250,11,1152014,0.973028,0.000010,0.1053
0.520,0.06250,14,1579418,0.966253,0.000015,0.1226
0.500,0.05750,11,1152014,0.970286,0.000012,0.1065
0.560,0.08750,22,2483195,0.954476,0.000029,0.1379
0.580,0.02750,27,2847535,0.985620,0.000003,0.0766
0.540,0.09250,18,2040253,0.950564,0.000032,0.1459
0.520,0.06750,14,1579418,0.963709,0.000019,0.1261
0.500,0.06250,11,1152014,0.967845,0.000014,0.1154
0.600,0.09750,31,3076462,0.950152,0.000036,0.1429
0.500,0.06750,11,1152014,0.965268,0.000016,0.1192
0.560,0.09250,22,2483195,0.951634,0.000033,0.1419
0.520,0.07250,14,1579418,0.960559,0.000021,0.1249
0.540,0.09750,18,2040253,0.947673,0.000038,0.1463
0.580,0.03250,27,2847535,0.983023,0.000004,0.0806
0.600,0.00250,32,3076462,0.998704,0.000000,0.0173
0.500,0.07250,11,1152014,0.962591,0.000019,0.1220
0.520,0.07750,14,1579418,0.958105,0.000023,0.1272
0.540,0.00250,19,2040253,0.998691,0.000000,0.0171
0.500,0.07750,11,1152014,0.959950,0.000021,0.1263
0.560,0.09750,22,2483195,0.948960,0.000036,0.1437
0.600,0.00750,32,3076462,0.996102,0.000000,0.0377
0.500,0.08250,11,1152014,0.957486,0.000025,0.1328
0.580,0.03750,27,2847535,0.980523,0.000006,0.0945
0.540,0.00750,19,2040253,0.996034,0.000000,0.0406
0.520,0.08250,14,1579418,0.955324,0.000027,0.1396
0.560,0.00250,23,2483195,0.998667,0.000000,0.0192
0.500,0.08750,11,1152014,0.954709,0.000028,0.1342
0.540,0.01250,19,2040253,0.993310,0.000001,0.0515
0.520,0.08750,14,1579418,0.952598,0.000028,0.1379
0.600,0.01250,32,3076462,0.993468,0.000001,0.0510
0.500,0.09250,11,1152014,0.952238,0.000032,0.1414
0.580,0.04250,27,2847535,0.977795,0.000006,0.0915
0.560,0.00750,23,2483195,0.996017,0.000000,0.0435
0.540,0.01750,19,2040253,0.990718,0.000001,0.0646
0.520,0.09250,14,1579418,0.949814,0.000034,0.1473
0.500,0.09750,11,1152014,0.949694,0.000035,0.1421
0.500,0.00250,12,1152014,0.998692,0.000000,0.0174
0.600,0.01750,32,3076462,0.990853,0.000001,0.0590
0.560,0.01250,23,2483195,0.993405,0.000001,0.0534
0.540,0.02250,19,2040253,0.987987,0.000002,0.0707
0.520,0.09750,14,1579418,0.947178,0.000036,0.1495
0.500,0.00750,12,1152014,0.996096,0.000000,0.0386
0.580,0.04750,27,2847535,0.975099,0.000008,0.1009
0.500,0.01250,12,1152014,0.993483,0.000001,0.0524
0.520,0.00250,15,1579418,0.998650,0.000000,0.0195
0.560,0.01750,23,2483195,0.990752,0.000001,0.0635
0.540,0.02750,19,2040253,0.985457,0.000003,0.0785
0.500,0.01750,12,1152014,0.990987,0.000001,0.0577
0.600,0.02250,32,3076462,0.988217,0.000002,0.0668
0.520,0.00750,15,1579418,0.996000,0.000000,0.0424
0.500,0.02250,12,1152014,0.988341,0.000002,0.0694
0.580,0.05250,27,2847535,0.972560,0.000010,0.1038
0.520,0.01250,15,1579418,0.993303,0.000001,0.0500
0.540,0.03250,19,2040253,0.982625,0.000004,0.0843
0.560,0.02250,23,2483195,0.988038,0.000002,0.0672
0.500,0.02750,12,1152014,0.985830,0.000003,0.0773
0.520,0.01750,15,1579418,0.990582,0.000001,0.0669
0.600,0.02750,32,3076462,0.985584,0.000003,0.0805
0.500,0.03250,12,1152014,0.983265,0.000004,0.0830
0.540,0.03750,19,2040253,0.980096,0.000006,0.0922
0.580,0.05750,27,2847535,0.969818,0.000012,0.1089
0.500,0.03750,12,1152014,0.980514,0.000005,0.0896
0.560,0.02750,23,2483195,0.985438,0.000003,0.0795
0.520,0.02250,15,1579418,0.987917,0.000002,0.0727
0.500,0.04250,12,1152014,0.977905,0.000007,0.0948
0.540,0.04250,19,2040253,0.977469,0.000007,0.0972
0.520,0.02750,15,1579418,0.985215,0.000003,0.0756
0.600,0.03250,32,3076462,0.982937,0.000004,0.0855
0.500,0.04750,12,1152014,0.975460,0.000008,0.0988
0.560,0.03250,23,2483195,0.982787,0.000004,0.0840
0.580,0.06250,27,2847535,0.967176,0.000014,0.1169
0.520,0.03250,15,1579418,0.982550,0.000004,0.0862
0.500,0.05250,12,1152014,0.972797,0.000010,0.1056
0.540,0.04750,19,2040253,0.974783,0.000009,0.1028
0.520,0.03750,15,1579418,0.979770,0.000005,0.0903
0.600,0.03750,32,3076462,0.980512,0.000005,0.0910
0.500,0.05750,12,1152014,0.970284,0.000011,0.1048
0.560,0.03750,23,2483195,0.980050,0.000006,0.0940
0.540,0.05250,19,2040253,0.972136,0.000010,0.1071
0.580,0.06750,27,2847535,0.964513,0.000017,0.1217
0.500,0.06250,12,1152014,0.967746,0.000014,0.1187
0.520,0.04250,15,1579418,0.977210,0.000007,0.0992
0.500,0.06750,12,1152014,0.965074,0.000016,0.1153
0.560,0.04250,23,2483195,0.977387,0.000007,0.0979
0.600,0.04250,32,3076462,0.977892,0.000007,0.0983
0.540,0.05750,19,2040253,0.969424,0.000012,0.1130
0.520,0.04750,15,1579418,0.974625,0.000008,0.1010
0.500,0.07250,12,1152014,0.962491,0.000019,0.1265
0.580,0.07250,27,2847535,0.961869,0.000021,0.1270
0.520,0.05250,15,1579418,0.972023,0.000011,0.1081
0.500,0.07750,12,1152014,0.959942,0.000021,0.1257
0.560,0.04750,23,2483195,0.974602,0.000009,0.1020
0.540,0.06250,19,2040253,0.966762,0.000014,0.1188
0.600,0.04750,32,3076462,0.975195,0.000009,0.0998
0.500,0.08250,12,1152014,0.957502,0.000023,0.1262
0.520,0.05750,15,1579418,0.969364,0.000012,0.1121
0.580,0.07750,27,2847535,0.959246,0.000023,0.1273
0.540,0.06750,19,2040253,0.964090,0.000018,0.1245
0.500,0.08750,12,1152014,0.954941,0.000028,0.1377
0.560,0.05250,23,2483195,0.971896,0.000011,0.1080
0.520,0.06250,15,1579418,0.966562,0.000014,0.1201
0.500,0.09250,12,1152014,0.952539,0.000031,0.1370
0.600,0.05250,32,3076462,0.972509,0.000010,0.1073
0.540,0.07250,19,2040253,0.961697,0.000020,0.1255
0.520,0.06750,15,1579418,0.963735,0.000018,0.1253
0.500,0.09750,12,1152014,0.949647,0.000035,0.1424
0.560,0.05750,23,2483195,0.969408,0.000012,0.1143
0.580,0.08250,27,2847535,0.956484,0.000026,0.1366
0.500,0.00250,13,1152014,0.998695,0.000000,0.0167
0.520,0.07250,15,1579418,0.961119,0.000020,0.1303
0.500,0.00750,13,1152014,0.996126,0.000000,0.0413
0.540,0.07750,19,2040253,0.958840,0.000024,0.1329
0.600,0.05750,32,3076462,0.969838,0.000013,0.1167
0.500,0.01250,13,1152014,0.993506,0.000001,0.0498
0.560,0.06250,23,2483195,0.966775,0.000016,0.1175
0.520,0.07750,15,1579418,0.958665,0.000025,0.1321
0.580,0.08750,27,2847535,0.953801,0.000030,0.1406
0.500,0.01750,13,1152014,0.991020,0.000001,0.0596
0.540,0.08250,19,2040253,0.956243,0.000026,0.1374
0.500,0.02250,13,1152014,0.988321,0.000002,0.0678
0.520,0.08250,15,1579418,0.955957,0.000025,0.1380
0.560,0.06750,23,2483195,0.964341,0.000016,0.1198
0.600,0.06250,32,3076462,0.967357,0.000015,0.1196
0.500,0.02750,13,1152014,0.985810,0.000002,0.0771
0.540,0.08750,19,2040253,0.953363,0.000029,0.1399
0.580,0.09250,27,2847535,0.951344,0.000036,0.1503
0.520,0.08750,15,1579418,0.953081,0.000030,0.1406
0.500,0.03250,13,1152014,0.983100,0.000004,0.0840
0.500,0.03750,13,1152014,0.980758,0.000005,0.0902
0.560,0.07250,23,2483195,0.961484,0.000021,0.1298
0.520,0.09250,15,1579418,0.950622,0.000031,0.1455
0.540,0.09250,19,2040253,0.950798,0.000031,0.1437
0.600,0.06750,32,3076462,0.964599,0.000017,0.1189
0.500,0.04250,13,1152014,0.978042,0.000007,0.0918
0.580,0.09750,27,2847535,0.948665,0.000037,0.1467
0.500,0.04750,13,1152014,0.975468,0.000008,0.1019
0.520,0.09750,15,1579418,0.947867,0.000038,0.1494
0.560,0.07750,23,2483195,0.958754,0.000022,0.1318
0.540,0.09750,19,2040253,0.947984,0.000035,0.1441
0.500,0.05250,13,1152014,0.972894,0.000009,0.1077
0.520,0.00250,16,1579418,0.998658,0.000000,0.0190
0.580,0.00250,28,2847535,0.998704,0.000000,0.0200
0.600,0.07250,32,3076462,0.962085,0.000020,0.1278
0.540,0.00250,20,2040253,0.998667,0.000000,0.0196
0.500,0.05750,13,1152014,0.970407,0.000011,0.1056
0.520,0.00750,16,1579418,0.995956,0.000000,0.0394
0.560,0.08250,23,2483195,0.955934,0.000028,0.1417
0.500,0.06250,13,1152014,0.967647,0.000013,0.1101
0.540,0.00750,20,2040253,0.995912,0.000000,0.0415
0.520,0.01250,16,1579418,0.993289,0.000001,0.0544
0.580,0.00750,28,2847535,0.996146,0.000000,0.0408
0.500,0.06750,13,1152014,0.965126,0.000016,0.1189
0.520,0.01750,16,1579418,0.990599,0.000001,0.0653
0.600,0.07750,32,3076462,0.959414,0.000021,0.1283
0.540,0.01250,20,2040253,0.993348,0.000001,0.0555
0.500,0.07250,13,1152014,0.962693,0.000018,0.1213
0.560,0.08750,23,2483195,0.953455,0.000029,0.1431
0.580,0.01250,28,2847535,0.993483,0.000001,0.0513
0.520,0.02250,16,1579418,0.987901,0.000002,0.0695
0.540,0.01750,20,2040253,0.990682,0.000001,0.0599
0.500,0.07750,13,1152014,0.960007,0.000022,0.1283
0.520,0.02750,16,1579418,0.985337,0.000003,0.0752
0.500,0.08250,13,1152014,0.957386,0.000025,0.1305
0.600,0.08250,32,3076462,0.956592,0.000026,0.1306
0.580,0.01750,28,2847535,0.990975,0.000001,0.0619
0.560,0.09250,23,2483195,0.950670,0.000032,0.1432
0.540,0.02250,20,2040253,0.988049,0.000002,0.0702
0.520,0.03250,16,1579418,0.982606,0.000004,0.0882
0.500,0.08750,13,1152014,0.954852,0.000027,0.1408
0.540,0.02750,20,2040253,0.985306,0.000003,0.0770
0.520,0.03750,16,1579418,0.979827,0.000006,0.0913
0.500,0.09250,13,1152014,0.952150,0.000033,0.1408
0.580,0.02250,28,2847535,0.988300,0.000002,0.0701
0.560,0.09750,23,2483195,0.947768,0.000037,0.1499
0.600,0.08750,32,3076462,0.953960,0.000032,0.1399
0.500,0.09750,13,1152014,0.949796,0.000034,0.1436
0.520,0.04250,16,1579418,0.977217,0.000007,0.1020
0.540,0.03250,20,2040253,0.982659,0.000004,0.0863
0.500,0.00250,14,1152014,0.998699,0.000000,0.0190
0.560,0.00250,24,2483195,0.998664,0.000000,0.0173
0.580,0.02750,28,2847535,0.985639,0.000003,0.0787
